record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"860216453","626401336","159521360","0.0","57.39999999999998","0.009","15.5","50.0","194.0","2.71","52.93","446.0","300","107","128","27","1","0.0","57.39999999999998","0.009",
"860216454","626400760","159520783","4.57","57.60000000000002","0.0","17.5","50.0","211.0","21.37","53.34","454.0","300","107","128","27","1","0.0","57.60000000000002","0.0","0","0","0","0.0",
"860216455","626400597","159520477","4.63","57.200000000000045","0.009","91.7","48.25","261.0","27.43","54.62","291.0","300","106","73","27","1","0.0","57.200000000000045","0.009","0","0","0","0.0",
"860216456","626400711","159520361","5.87","57.0","1.605","80.0","39.5","258.0","3.68","54.78","1976.0","300","107","91","27","1","0.0","57.0","1.605","39","85","0","0.0","65457","41","0.0",
"860216457","626400974","159520172","8.55","57.200000000000045","1.605","81.0","39.0","257.0","7.21","54.12","1233.0","300","108","91","27","1","0.0","57.200000000000045","1.605","269","90","248","10.25","65457","109","15.125",
"860216458","626401231","159520016","11.09","56.799999999999955","1.605","81.0","38.75","254.0","15.21","53.65","344.0","300","109","91","27","1","0.0","56.799999999999955","1.605","252","90","248","6.375","65457","79","13.5",
"860216459","626401574","159519958","14.27","56.799999999999955","2.09","80.0","38.5","252.0","11.4","53.28","641.0","300","110","91","27","1","0.0","56.799999999999955","2.09","258","94","244","6.125","65457","78","13.125",
"860216460","626401954","159520066","17.85","56.799999999999955","2.538","79.0","38.75","252.0","12.09","53.03","659.0","300","111","92","27","1","0.0","56.799999999999955","2.538","258","91","246","6.0","65457","77","12.875",
"860216461","626402217","159520183","20.39","56.799999999999955","3.312","79.0","40.0","259.0","11.21","52.78","729.0","300","112","91","27","1","0.5","56.799999999999955","3.312","254","96","246","5.75","65457","76","13.25",
"860216462","626402320","159520130","21.3","56.799999999999955","3.312","79.0","39.5","261.0","10.53","52.65","906.0","300","112","91","27","1","0.0","56.799999999999955","3.312","249","89","242","5.875","65457","76","13.5",
