record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"860947425","626357704","159544588","0.79","29.799999999999955","0.0","300","135","0","22","0.0","29.799999999999955","0.0",
"860947426","626357718","159544405","1.36","29.399999999999977","0.0","300","135","0","22","0.0","29.399999999999977","0.0","0","0","0","0.0",
"860947427","626357518","159544218","3.49","29.200000000000045","0.0","300","134","61","22","0.0","29.200000000000045","0.0","0","0","0","0.0",
"860947428","626357245","159544017","6.28","29.200000000000045","0.0","300","134","61","22","0.0","29.200000000000045","0.0","0","0","0","0.0","67","0","0.0",
"860947429","626356917","159543811","9.55","29.200000000000045","1.39","300","133","61","22","0.0","29.200000000000045","1.39","205","89","0","0.125","66","41","16.0",
"860947430","626356572","159543612","12.96","29.0","1.782","300","132","61","22","0.0","29.0","1.782","205","89","134","0.125","66","41","16.0",
"860947431","626356227","159543446","16.32","29.0","2.426","300","132","87","22","0.5","29.0","2.426","279","94","268","9.625","66","105","12.5",
"860947432","626355892","159543258","19.61","29.0","3.032","300","131","89","22","0.0","29.0","3.032","245","90","266","5.375","67","72","12.25",
"860947433","626355516","159543108","23.23","29.0","3.107","300","130","89","22","0.5","29.0","3.107","238","88","266","5.25","66","71","12.5",
"860947434","626355032","159542971","27.81","29.0","3.107","300","129","90","22","0.0","29.0","3.107","238","88","266","5.25","66","71","12.5",
"860947435","626354665","159542790","31.38","29.0","3.135","300","129","90","22","0.0","29.0","3.135","238","92","268","5.5","66","72","12.5",
"860947436","626354366","159542620","34.33","28.799999999999955","3.256","300","129","90","22","0.0","28.799999999999955","3.256","238","90","268","5.5","66","73","12.375",
"860947437","626354043","159542443","37.51","28.799999999999955","3.256","300","129","90","22","0.0","28.799999999999955","3.256","228","91","266","5.375","66","72","12.375",
"860947438","626353705","159542256","40.83","28.799999999999955","3.135","300","129","91","22","0.0","28.799999999999955","3.135","228","91","264","5.375","66","72","12.375",
"860947439","626353369","159542085","44.12","28.799999999999955","3.135","300","128","91","22","0.0","28.799999999999955","3.135","216","94","264","5.5","65","72","12.5",
"860947440","626353031","159541903","47.43","28.799999999999955","3.172","300","125","91","22","0.0","28.799999999999955","3.172","218","90","262","5.5","65","73","12.5",
"860947441","626352728","159541725","50.43","28.799999999999955","3.191","300","125","92","22","0.0","28.799999999999955","3.191","230","93","264","5.5","66","73","12.375",
"860947442","626352398","159541554","53.66","29.0","3.21","300","128","92","22","0.0","29.0","3.21","237","92","264","5.5","66","72","12.25",
"860947443","626352226","159541367","55.54","29.600000000000023","3.21","300","132","92","22","0.0","29.600000000000023","3.21","230","91","264","5.375","66","72","12.125",
"860947444","626351968","159541216","58.09","30.0","3.2","300","133","92","22","0.0","30.0","3.2","235","92","266","5.5","66","72","12.25",
"860947445","626351793","159541133","59.77","30.200000000000045","3.098","300","132","92","22","0.0","30.200000000000045","3.098","247","90","264","5.5","66","72","12.0",
"860947446","626351547","159541117","62.06","30.600000000000023","3.088","300","135","91","22","0.0","30.600000000000023","3.088","247","92","264","5.375","66","72","11.875",
"860947447","626351275","159541067","64.62","30.600000000000023","3.051","300","137","91","22","0.0","30.600000000000023","3.051","234","90","264","5.625","66","73","11.875",
