record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"854979746","626399880","159521159","0.0","56.0","0.0","100","113","0","24","0.0","56.0","0.0","0","0","0","0.0",
"854979747","626399839","159521100","0.0","56.0","0.961","100","113","0","24","0.0","56.0","0.961","0","0","0","0.0",
"854979748","626399976","159520910","1.63","55.39999999999998","0.961","100","113","0","24","0.0","55.39999999999998","0.961","0","0","0","0.0",
"854979749","626400207","159520629","4.17","56.39999999999998","1.26","100","113","0","24","0.0","56.39999999999998","1.26","0","0","0","0.0",
"854979750","626400480","159520438","6.88","55.799999999999955","1.269","100","112","0","24","0.0","55.799999999999955","1.269","0","0","0","0.0",
"854979751","626400750","159520145","9.82","56.200000000000045","2.09","100","112","93","24","0.0","56.200000000000045","2.09","0","0","0","0.0",
"854979752","626400906","159519705","12.52","56.60000000000002","2.314","100","112","93","24","0.5","56.60000000000002","2.314","0","0","0","0.0",
"854979753","626400967","159519203","14.95","56.60000000000002","2.986","100","111","93","24","0.5","56.60000000000002","2.986","0","0","0","0.0",
"854979754","626400956","159518772","16.57","56.39999999999998","2.995","100","111","93","24","0.5","56.39999999999998","2.995","0","0","0","0.0",
"854979755","626401179","159518510","19.05","56.39999999999998","2.986","100","111","93","24","0.0","56.39999999999998","2.986","0","0","0","0.0",
"854979756","626401439","159518216","22.0","56.39999999999998","2.976","100","110","93","24","0.0","56.39999999999998","2.976","0","0","0","0.0",
"854979757","626401642","159517839","24.84","56.39999999999998","2.911","100","110","93","24","0.0","56.39999999999998","2.911","0","0","0","0.0",
"854979758","626401786","159517405","27.63","56.200000000000045","2.893","100","110","92","24","0.0","56.200000000000045","2.893","0","0","0","0.0",
"854979759","626401958","159516956","30.61","56.0","2.893","100","109","92","24","0.0","56.0","2.893","0","0","0","0.0",
"854979760","626402129","159516504","33.62","56.0","2.827","100","112","91","24","0.0","56.0","2.827","0","0","0","0.0",
"854979761","626402295","159516066","36.52","55.799999999999955","2.781","100","114","91","24","0.0","55.799999999999955","2.781","0","0","0","0.0",
"854979762","626402454","159515673","39.2","55.60000000000002","2.753","100","115","91","24","0.0","55.60000000000002","2.753","0","0","0","0.0",
"854979763","626402552","159515305","41.47","55.39999999999998","2.734","100","118","91","24","0.0","55.39999999999998","2.734","0","0","0","0.0",
"854979764","626402621","159514928","43.62","55.60000000000002","2.715","100","119","92","24","0.0","55.60000000000002","2.715","0","0","0","0.0",
"854979765","626402745","159514589","45.82","55.39999999999998","2.669","100","119","92","24","0.0","55.39999999999998","2.669","0","0","0","0.0",
"854979766","626402784","159514253","47.61","55.60000000000002","2.641","100","121","92","24","0.0","55.60000000000002","2.641","0","0","0","0.0",
"854979767","626402842","159513957","49.33","55.39999999999998","2.622","100","120","92","24","0.0","55.39999999999998","2.622","0","0","0","0.0",
"854979768","626402922","159513559","51.23","55.799999999999955","2.585","100","121","92","24","0.0","55.799999999999955","2.585","0","0","0","0.0",
"854979769","626402989","159513152","53.52","55.60000000000002","2.566","100","126","92","24","0.0","55.60000000000002","2.566","0","0","0","0.0",
"854979770","626403040","159512707","55.96","55.799999999999955","2.51","100","130","92","24","0.0","55.799999999999955","2.51","0","0","0","0.0",
"854979771","626403120","159512284","58.42","56.0","2.482","100","132","91","24","0.0","56.0","2.482","0","0","0","0.0",
"854979772","626403218","159511876","60.9","56.0","2.463","100","131","91","24","0.0","56.0","2.463","0","0","0","0.0",
"854979773","626403305","159511504","63.16","56.0","2.445","100","130","91","24","0.0","56.0","2.445","0","0","0","0.0",
"854979774","626403468","159511162","65.6","56.200000000000045","2.435","100","134","91","24","0.0","56.200000000000045","2.435","0","0","0","0.0",
"854979775","626403539","159510777","67.7","56.200000000000045","2.426","100","131","91","24","0.0","56.200000000000045","2.426","0","0","0","0.0",
"854979776","626403798","159510438","70.79","56.200000000000045","2.426","100","131","91","24","0.0","56.200000000000045","2.426","0","0","0","0.0",
"854979777","626404020","159510105","73.57","56.200000000000045","2.426","100","131","91","24","0.0","56.200000000000045","2.426","0","0","0","0.0",
"854979778","626404213","159509764","76.21","56.0","2.426","100","134","91","24","0.0","56.0","2.426","0","0","0","0.0",
"854979779","626404372","159509325","79.12","56.0","2.426","100","135","91","24","0.0","56.0","2.426","0","0","0","0.0",
"854979780","626404610","159508871","82.53","56.0","2.426","100","133","90","24","0.0","56.0","2.426","0","0","0","0.0",
"854979781","626404863","159508403","86.06","56.0","2.426","100","134","90","24","0.0","56.0","2.426","0","0","0","0.0",
"854979782","626405047","159507978","89.02","56.0","2.454","100","135","90","24","0.0","56.0","2.454","0","0","0","0.0",
"854979783","626405233","159507513","92.19","56.0","2.473","100","133","90","24","0.0","56.0","2.473","0","0","0","0.0",
"854979784","626405397","159507008","95.43","56.0","2.482","100","131","90","24","0.0","56.0","2.482","0","0","0","0.0",
"854979785","626405597","159506518","98.76","56.0","2.501","100","131","90","23","0.0","56.0","2.501","0","0","0","0.0",
"854979786","626405882","159506094","102.35","56.0","2.519","100","130","90","23","0.0","56.0","2.519","0","0","0","0.0",
"854979787","626406123","159505680","105.6","56.200000000000045","2.547","100","129","90","23","0.0","56.200000000000045","2.547","0","0","0","0.0",
"854979788","626406404","159505297","108.99","56.200000000000045","2.575","100","129","90","23","0.0","56.200000000000045","2.575","0","0","0","0.0",
"854979789","626406639","159504887","112.19","56.200000000000045","2.594","100","131","90","23","0.0","56.200000000000045","2.594","0","0","0","0.0",
"854979790","626406869","159504470","115.38","56.200000000000045","2.603","100","133","90","23","0.0","56.200000000000045","2.603","0","0","0","0.0",
"854979791","626407061","159504023","118.49","56.200000000000045","2.631","100","134","90","23","0.0","56.200000000000045","2.631","0","0","0","0.0",
"854979792","626407228","159503546","121.63","56.0","2.65","100","134","90","23","0.0","56.0","2.65","0","0","0","0.0",
"854979793","626407392","159503104","124.57","56.0","2.659","100","136","90","23","0.0","56.0","2.659","0","0","0","0.0",
"854979794","626407573","159502628","127.76","56.0","2.659","100","136","90","23","0.0","56.0","2.659","0","0","0","0.0",
"854979795","626407765","159502173","130.9","56.0","2.659","100","136","90","23","0.0","56.0","2.659","0","0","0","0.0",
