record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"855130185","626403814","159518368","0.0","57.39999999999998","1.232","0.0","0.0","0.0","0.0","0.0","0.0","300","90","0","24","1","0.0","57.39999999999998","1.232","0","0","0","0.0",
"855130186","626403807","159518636","0.0","58.200000000000045","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300","90","0","24","1","0.0","58.200000000000045","0.0","0","0","0","0.0",
"855130188","626404090","159518903","0.59","58.60000000000002","0.886","60.5","35.5","227.0","0.0","39.56","0.0","300","90","96","24","1","0.5","58.60000000000002","0.886","0","0","0","0.0",
"855130189","626404102","159518716","1.4","58.799999999999955","0.886","83.0","37.5","240.0","26.93","41.96","293.0","300","90","92","24","1","0.0","58.799999999999955","0.886","0","0","0","0.0",
"855130190","626404127","159518441","2.54","58.60000000000002","1.875","82.0","37.5","244.0","17.46","43.81","471.0","300","93","91","24","1","0.5","58.60000000000002","1.875","0","0","0","0.0",
"855130191","626404389","159518656","4.23","58.200000000000045","2.015","81.0","37.75","247.0","18.75","44.93","392.0","300","98","91","24","1","0.5","58.200000000000045","2.015","0","0","0","0.0",
"855130192","626404442","159518456","5.21","58.200000000000045","2.025","78.0","37.75","248.0","18.75","45.4","402.0","300","103","91","24","1","0.5","58.200000000000045","2.025","0","0","0","0.0",
"855130193","626404384","159518094","5.84","58.200000000000045","2.025","77.0","38.25","249.0","15.5","46.09","610.0","300","106","92","24","1","0.0","58.200000000000045","2.025","0","0","0","0.0",
"855130194","626404308","159517653","6.77","58.200000000000045","2.062","75.0","38.25","247.0","14.53","46.37","601.0","300","106","93","24","1","0.5","58.200000000000045","2.062","0","0","0","0.0",
"855130195","626404289","159517187","8.28","58.0","2.062","75.0","38.5","248.0","14.06","46.59","600.0","300","106","93","24","1","0.5","58.0","2.062","0","0","0","0.0",
"855130196","626404274","159516730","10.44","58.0","2.305","77.0","38.5","249.0","13.28","46.81","632.0","300","107","93","24","1","0.0","58.0","2.305","0","0","0","0.0",
"855130197","626404143","159516016","12.64","57.799999999999955","2.407","79.0","38.5","250.0","12.96","46.93","648.0","300","113","91","23","1","0.5","57.799999999999955","2.407","0","0","0","0.0",
"855130198","626404175","159515639","14.41","57.60000000000002","2.51","79.0","38.5","252.0","12.18","47.18","688.0","300","114","90","23","1","0.5","57.60000000000002","2.51","0","0","0","0.0",
"855130199","626404231","159515331","15.91","57.60000000000002","2.575","78.0","38.75","254.0","11.9","47.31","694.0","300","116","91","23","1","0.0","57.60000000000002","2.575","0","0","0","0.0",
"855130200","626404262","159515046","17.37","57.60000000000002","2.575","77.0","39.0","255.0","10.93","47.5","727.0","300","118","91","23","1","0.0","57.60000000000002","2.575","0","0","0","0.0",
"855130201","626404249","159514499","20.34","57.60000000000002","2.398","74.0","38.75","252.0","10.71","47.59","723.0","300","119","92","23","1","0.0","57.60000000000002","2.398","0","0","0","0.0",
"855130202","626404292","159513969","23.22","57.60000000000002","2.361","74.0","39.0","254.0","10.53","47.71","724.0","300","119","92","23","1","0.0","57.60000000000002","2.361","0","0","0","0.0",
"855130203","626404355","159513498","25.87","57.60000000000002","2.351","73.0","39.25","255.0","10.34","47.81","718.0","300","120","92","23","1","0.0","57.60000000000002","2.351","0","0","0","0.0",
"855130204","626404459","159513037","28.64","57.799999999999955","2.417","73.0","39.0","254.0","10.15","47.9","724.0","300","121","92","23","1","0.0","57.799999999999955","2.417","0","0","0","0.0",
"855130205","626404583","159512570","31.47","58.0","2.445","72.2","39.25","255.0","10.03","48.0","727.0","300","121","92","23","1","0.0","58.0","2.445","0","0","0","0.0",
