record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.vertical_ratio[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.stance_time_percent[percent],record.stance_time[ms],record.stance_time_balance[percent],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"856074891","626400270","159520742","0.0","57.39999999999998","0.009","43.7","0.0","0.0","300","78","45","24","6","0.0","57.39999999999998","0.009",
"856074892","626400358","159520654","0.53","57.39999999999998","0.0","61.5","0.0","0.0","300","80","47","24","6","0.5","57.39999999999998","0.0",
"856074893","626400440","159520941","1.96","57.39999999999998","0.672","77.0","0.0","0.0","300","85","78","24","1","0.5","57.39999999999998","0.672","44.0","250.0","35.53",
"856074894","626400490","159520893","2.36","57.799999999999955","1.297","79.0","19.9","383.0","300","92","90","24","1","0.0","57.799999999999955","1.297","36.5","246.0","46.06","0","0","0","0.0",
"856074895","626400758","159520422","6.0","57.60000000000002","1.241","78.0","19.9","383.0","300","94","93","24","1","0.0","57.60000000000002","1.241","37.5","247.0","46.06","0","0","0","0.0",
"856074896","626400901","159519723","9.96","57.799999999999955","1.418","77.0","18.62","427.0","300","99","92","24","1","0.5","57.799999999999955","1.418","37.0","244.0","47.31","0","0","0","0.0",
"856074897","626401018","159519073","13.66","58.0","2.613","79.0","18.62","427.0","300","103","91","24","1","0.5","58.0","2.613","37.25","246.0","47.31","0","0","0","0.0",
"856074898","626401139","159518547","16.78","57.799999999999955","2.948","79.0","17.65","853.0","300","104","91","24","1","0.0","57.799999999999955","2.948","37.5","248.0","48.18","16","91","0","0.0",
"856074899","626401258","159518064","19.65","57.799999999999955","2.948","79.0","8.68","910.0","300","107","91","24","1","0.0","57.799999999999955","2.948","37.5","248.0","48.34","229","91","122","0.0","65378","16","0.0",
"856074900","626401324","159517500","22.85","57.799999999999955","2.827","78.0","8.68","910.0","300","110","91","24","1","0.0","57.799999999999955","2.827","37.75","249.0","48.34","292","90","244","0.0","65378","41","0.0",
