record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"856422007","626400843","159520590","0.0","57.39999999999998","0.037","100","102","61","26","0.0","57.39999999999998","0.037",
"856422008","626400842","159520752","0.93","57.39999999999998","0.0","100","102","61","26","0.0","57.39999999999998","0.0",
"856422010","626400525","159521327","5.16","57.60000000000002","0.532","100","101","93","26","0.0","57.60000000000002","0.532","0","0","0","0.0",
"856422011","626400444","159521653","7.17","58.799999999999955","1.745","100","100","93","26","0.0","58.799999999999955","1.745","0","0","0","0.0",
"856422012","626400340","159521975","9.24","58.39999999999998","2.053","100","100","91","26","0.5","58.39999999999998","2.053","0","0","0","0.0",
"856422013","626400246","159522347","11.51","59.0","2.053","100","96","91","26","0.5","59.0","2.053","0","0","0","0.0","65492","0","0.0",
"856422014","626400124","159522825","14.46","58.799999999999955","2.09","100","93","91","26","0.5","58.799999999999955","2.09","0","0","0","0.0","65492","0","0.0",
"856422015","626400069","159523287","17.1","58.60000000000002","2.258","100","89","91","26","0.0","58.60000000000002","2.258","41","0","64","0.0","65492","0","0.0",
"856422016","626400030","159523660","19.18","58.60000000000002","2.519","100","89","91","26","0.0","58.60000000000002","2.519","41","91","64","0.0","65492","41","0.0",
"856422017","626399976","159524007","21.2","58.60000000000002","2.519","100","91","91","26","0.0","58.60000000000002","2.519","242","92","126","5.375","65492","72","12.625",
"856422018","626399902","159524313","23.08","58.39999999999998","2.193","100","92","92","26","0.0","58.39999999999998","2.193","244","91","258","5.25","65492","72","12.0",
"856422019","626399726","159524604","25.41","58.39999999999998","2.09","100","95","93","26","0.0","58.39999999999998","2.09","240","93","262","5.125","65492","70","12.375",
