record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"857030309","626392285","159537956","0.58","46.39999999999998","1.25","49.7","48.25","575.0","11.71","49.78","347.0","300","90","49","26","1","0.5","46.39999999999998","1.25","0","0","0","0.0","62","0","0.0",
"857030310","626392290","159538162","1.73","46.200000000000045","0.933","58.5","39.75","285.0","24.4","49.87","316.0","300","92","66","25","1","0.5","46.200000000000045","0.933","0","0","0","0.0","62","0","0.0",
"857030311","626392361","159538371","3.08","46.0","0.933","79.0","37.25","235.0","34.75","49.87","293.0","300","95","94","25","1","0.0","46.0","0.933","0","0","0","0.0","62","0","0.0",
"857030312","626392330","159538662","4.55","46.39999999999998","1.008","78.0","37.75","240.0","27.62","50.0","273.0","300","95","93","25","1","0.5","46.39999999999998","1.008","0","0","0","0.0","62","0","0.0",
"857030313","626392483","159538692","5.97","45.799999999999955","1.222","78.0","38.25","249.0","25.28","50.0","354.0","300","96","91","25","1","0.0","45.799999999999955","1.222","0","60","0","0.0","49","0","0.0",
"857030314","626392445","159538970","6.59","46.200000000000045","1.222","76.0","38.5","251.0","23.62","50.0","348.0","300","96","91","25","1","0.0","46.200000000000045","1.222","16","60","0","0.0","49","0","0.0",
"857030315","626392325","159539317","7.89","46.200000000000045","1.241","74.0","38.75","252.0","20.59","50.0","375.0","300","100","91","25","1","0.0","46.200000000000045","1.241","214","60","124","0.0","48","0","0.0",
"857030316","626392247","159539629","9.28","46.39999999999998","1.241","72.2","39.25","253.0","20.59","50.0","375.0","300","101","91","25","1","0.5","46.39999999999998","1.241","214","90","124","0.125","48","41","0.0",
"857030317","626392113","159539967","11.15","46.60000000000002","1.95","71.2","39.25","254.0","19.03","50.0","390.0","300","104","92","25","1","0.0","46.60000000000002","1.95","280","91","252","9.375","49","105","13.75",
"857030318","626391990","159540332","13.26","46.799999999999955","2.249","72.2","39.25","255.0","15.71","50.0","615.0","300","104","92","25","1","0.0","46.799999999999955","2.249","251","91","256","5.5","49","74","13.25",
"857030319","626391908","159540710","15.36","46.799999999999955","2.286","72.2","39.5","258.0","12.5","50.0","671.0","300","105","91","25","1","0.5","46.799999999999955","2.286","253","93","254","5.375","49","73","13.25",
"857030320","626391855","159541096","17.45","47.0","2.286","72.2","40.0","261.0","11.59","50.0","687.0","300","107","91","25","1","0.5","47.0","2.286","251","93","254","5.375","49","73","13.25",
"857030321","626391832","159541571","20.01","47.0","1.894","73.0","39.75","261.0","11.31","50.0","695.0","300","108","91","25","1","0.0","47.0","1.894","252","90","254","5.875","49","75","13.25",
"857030322","626391836","159542022","22.52","47.0","1.894","72.2","39.5","260.0","11.12","50.0","685.0","300","108","91","25","1","0.0","47.0","1.894","256","90","258","5.875","49","75","13.0",
"857030323","626391896","159542470","25.07","46.799999999999955","2.099","72.2","39.5","259.0","11.03","50.0","683.0","300","109","91","25","1","0.5","46.799999999999955","2.099","258","94","258","5.75","49","75","13.25",
"857030324","626392024","159542910","27.8","46.799999999999955","2.127","72.2","40.0","262.0","10.62","50.0","689.0","300","110","91","25","1","0.5","46.799999999999955","2.127","256","94","254","5.75","49","75","13.25",
"857030325","626392191","159543283","30.39","46.60000000000002","2.221","70.2","39.5","260.0","10.25","50.09","695.0","300","111","91","25","1","0.5","46.60000000000002","2.221","256","87","254","5.5","48","73","13.25",
"857030326","626392260","159543692","32.77","46.60000000000002","2.342","71.2","40.0","261.0","10.34","50.21","707.0","300","112","91","25","1","0.5","46.60000000000002","2.342","260","91","254","5.5","48","74","12.875",
"857030327","626392272","159544202","35.67","46.39999999999998","2.426","71.2","40.0","262.0","9.75","50.34","749.0","300","112","91","25","1","0.5","46.39999999999998","2.426","263","89","256","5.75","49","75","12.875",
"857030328","626392218","159544731","38.72","46.200000000000045","2.426","69.2","39.75","259.0","9.46","50.34","760.0","300","112","92","25","1","0.0","46.200000000000045","2.426","251","92","268","5.75","49","74","12.375",
"857030329","626392105","159545263","41.91","46.200000000000045","2.51","69.2","39.25","255.0","9.25","50.25","762.0","300","114","92","25","1","0.5","46.200000000000045","2.51","242","92","268","5.75","49","74","12.375",
"857030330","626391929","159545760","45.19","46.0","2.529","69.2","39.5","258.0","9.06","50.12","777.0","300","115","92","25","1","0.5","46.0","2.529","257","92","256","5.375","49","72","12.5",
"857030331","626391707","159546258","48.7","46.200000000000045","2.575","66.2","39.5","255.0","8.46","50.12","807.0","300","115","93","25","1","0.0","46.200000000000045","2.575","255","92","254","5.375","49","72","12.5",
"857030332","626391400","159546655","52.34","46.0","2.613","67.2","39.5","257.0","8.28","50.12","838.0","300","116","93","25","1","0.0","46.0","2.613","259","94","258","5.375","49","72","12.5",
"857030333","626391060","159546973","55.98","46.200000000000045","2.659","69.2","39.75","258.0","8.09","50.12","872.0","300","116","92","25","1","0.5","46.200000000000045","2.659","255","90","258","5.25","49","72","12.625",
"857030334","626390707","159547265","59.66","46.39999999999998","2.687","69.2","39.75","260.0","7.68","50.03","899.0","300","117","92","25","1","0.0","46.39999999999998","2.687","257","90","264","5.25","49","72","12.625",
"857030335","626390361","159547533","63.24","46.60000000000002","2.725","68.2","39.75","259.0","7.5","50.03","904.0","300","118","92","25","1","0.0","46.60000000000002","2.725","257","91","264","5.375","49","72","12.125",
"857030336","626390000","159547801","66.93","46.799999999999955","2.771","68.2","40.25","261.0","7.5","50.12","916.0","300","118","92","25","1","0.0","46.799999999999955","2.771","268","93","260","5.375","49","72","12.375",
"857030337","626389609","159548108","70.98","47.200000000000045","2.809","70.2","40.75","267.0","7.4","50.12","931.0","300","118","91","25","1","0.5","47.200000000000045","2.809","272","90","260","5.25","49","72","12.375",
"857030338","626389220","159548358","74.87","47.200000000000045","2.874","70.2","40.75","267.0","7.31","50.12","953.0","300","118","91","25","1","0.5","47.200000000000045","2.874","265","92","260","5.375","49","72","12.625",
"857030339","626388840","159548529","78.54","47.39999999999998","2.948","68.2","41.0","268.0","6.9","50.12","959.0","300","117","91","25","1","0.5","47.39999999999998","2.948","265","93","260","5.25","49","72","12.5",
"857030340","626388455","159548674","82.22","47.39999999999998","2.986","68.2","41.0","268.0","6.81","50.03","960.0","300","118","91","25","1","0.5","47.39999999999998","2.986","265","93","264","5.25","49","72","12.5",
"857030341","626388058","159548849","86.01","47.60000000000002","3.004","68.2","41.0","268.0","6.81","50.03","978.0","300","116","91","25","1","0.5","47.60000000000002","3.004","256","94","266","5.0","49","69","12.625",
"857030342","626387280","159548923","93.27","47.39999999999998","3.032","68.2","41.0","268.0","6.71","50.03","1001.0","300","116","91","24","1","0.5","47.39999999999998","3.032","252","93","264","5.0","49","70","12.75",
"857030343","626386672","159549283","99.23","47.200000000000045","3.032","68.2","41.0","268.0","6.62","50.03","1015.0","300","115","91","24","1","0.5","47.200000000000045","3.032","252","93","262","5.0","49","70","12.75",
"857030344","626386122","159549715","104.86","47.0","3.023","67.2","40.25","262.0","6.53","49.9","1014.0","300","115","92","24","1","0.5","47.0","3.023","254","91","260","5.25","49","72","13.0",
"857030345","626385629","159550021","109.76","47.0","2.995","67.2","40.25","262.0","6.53","49.81","1004.0","300","116","92","24","1","0.0","47.0","2.995","253","92","258","5.25","49","71","12.5",
