record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"869731650","626398100","159519282","0.3","-33.19999999999999","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300","58","0","29","1","0.0","-33.19999999999999","0.0","0","0","0","0.0","0","0","0.0",
"869731651","626398035","159519380","1.13","-33.39999999999998","0.009","6.7","50.0","359.0","0.0","66.31","0.0","300","56","83","29","1","0.5","-33.39999999999998","0.009","0","0","0","0.0","0","0","0.0",
"869731652","626397921","159519536","2.51","-33.19999999999999","0.009","101.5","42.5","433.0","0.0","66.31","0.0","300","56","58","29","1","0.5","-33.19999999999999","0.009","0","0","0","0.0","0","0","0.0",
"869731653","626397801","159519732","4.09","-33.60000000000002","0.037","84.7","37.75","257.0","2.12","61.68","18.0","300","56","88","29","1","0.5","-33.60000000000002","0.037","0","0","0","0.0","0","0","0.0",
"869731654","626397637","159519973","6.14","-33.19999999999999","1.428","83.0","37.75","255.0","24.68","58.56","357.0","300","56","89","29","1","0.5","-33.19999999999999","1.428","0","0","0","0.0","0","0","0.0",
"869731655","626397437","159520225","8.48","-33.19999999999999","2.006","83.0","37.75","257.0","16.96","55.5","588.0","300","56","88","29","1","0.5","-33.19999999999999","2.006","0","0","0","0.0","34","0","0.0",
"869731656","626397206","159520559","11.34","-33.19999999999999","2.426","88.7","38.25","261.0","15.9","54.62","683.0","300","57","87","29","1","0.0","-33.19999999999999","2.426","0","0","0","0.0","34","0","0.0",
"869731657","626397060","159521094","14.68","-33.39999999999998","2.734","86.7","38.5","264.0","13.06","53.5","739.0","300","60","87","29","1","0.5","-33.39999999999998","2.734","0","0","0","0.0","34","0","0.0",
"869731658","626396972","159521600","17.63","-33.39999999999998","2.874","84.7","38.75","264.0","12.0","53.12","783.0","300","70","88","29","1","0.0","-33.39999999999998","2.874","0","0","0","0.0","32","0","0.0",
"869731659","626396978","159522158","20.81","-33.39999999999998","2.874","84.7","38.75","263.0","11.31","52.81","855.0","300","77","88","29","1","0.0","-33.39999999999998","2.874","16","0","0","0.0","33","0","0.0",
"869731660","626396800","159522537","23.43","-33.39999999999998","2.827","84.7","38.75","261.0","10.53","52.31","877.0","300","82","88","29","1","0.5","-33.39999999999998","2.827","243","0","122","0.0","33","16","0.0",
"869731661","626396558","159522931","26.56","-33.39999999999998","2.762","85.7","38.25","259.0","10.34","52.21","885.0","300","85","88","29","1","0.0","-33.39999999999998","2.762","243","87","122","0.125","33","41","0.0",
"869731662","626396201","159523223","30.16","-33.39999999999998","2.762","85.7","38.5","260.0","10.34","52.09","882.0","300","90","88","29","1","0.0","-33.39999999999998","2.762","318","88","248","10.125","33","109","13.125",
"869731663","626395925","159523637","33.64","-33.39999999999998","2.883","85.7","38.25","260.0","9.93","51.65","884.0","300","94","88","29","1","0.0","-33.39999999999998","2.883","291","87","250","6.5","33","79","13.125",
"869731664","626395671","159524104","37.19","-33.39999999999998","2.939","84.7","38.5","260.0","9.65","51.53","891.0","300","97","88","29","1","0.5","-33.39999999999998","2.939","291","87","250","6.5","33","79","13.125",
"869731665","626395423","159524571","40.72","-33.19999999999999","3.004","83.7","38.5","260.0","9.25","51.31","920.0","300","100","88","29","1","0.5","-33.19999999999999","3.004","285","89","258","6.125","33","76","12.75",
"869731666","626395200","159525055","44.17","-33.19999999999999","3.042","82.0","38.75","262.0","9.06","51.21","933.0","300","103","88","29","1","0.5","-33.19999999999999","3.042","285","89","260","6.125","33","76","12.75",
"869731667","626394979","159525539","47.61","-33.19999999999999","3.06","82.0","38.75","261.0","8.78","50.9","960.0","300","106","88","29","1","0.5","-33.19999999999999","3.06","289","89","258","6.0","33","76","12.625",
"869731668","626394706","159526003","51.26","-33.39999999999998","3.06","81.0","38.25","257.0","8.68","50.9","958.0","300","108","89","29","1","0.5","-33.39999999999998","3.06","287","88","258","6.125","33","77","12.5",
"869731669","626394447","159526453","54.78","-33.19999999999999","3.088","81.0","38.5","258.0","8.28","50.81","976.0","300","114","89","29","1","0.5","-33.19999999999999","3.088","270","90","258","6.125","33","76","13.0",
"869731670","626394210","159526822","57.83","-33.39999999999998","3.088","80.0","39.0","263.0","8.18","50.81","990.0","300","118","89","29","1","0.0","-33.39999999999998","3.088","270","90","256","6.125","33","76","13.0",
"869731671","626393971","159527196","60.91","-33.39999999999998","3.06","81.0","38.75","263.0","8.09","50.71","1014.0","300","119","88","29","1","0.5","-33.39999999999998","3.06","270","86","260","5.875","33","75","13.125",
"869731672","626393714","159527570","64.12","-33.60000000000002","3.051","82.0","38.75","262.0","8.0","50.62","1019.0","300","119","88","29","1","0.5","-33.60000000000002","3.051","273","87","258","6.0","33","76","13.125",
"869731673","626393493","159527923","66.99","-33.60000000000002","3.042","82.0","38.75","262.0","8.0","50.53","1013.0","300","119","88","29","1","0.5","-33.60000000000002","3.042","264","88","258","6.375","33","78","12.75",
"869731674","626393181","159528155","69.85","-33.60000000000002","3.023","82.0","38.75","263.0","8.0","50.53","1011.0","300","119","88","29","1","0.5","-33.60000000000002","3.023","264","88","258","6.375","32","78","12.75",
"869731675","626392943","159528416","72.45","-33.60000000000002","2.995","82.0","38.75","262.0","8.0","50.43","1006.0","300","119","88","29","1","0.5","-33.60000000000002","2.995","258","87","256","6.25","33","78","12.75",
"869731676","626392497","159528596","76.54","-33.60000000000002","2.986","81.0","38.75","261.0","8.0","50.43","991.0","300","120","89","29","1","0.0","-33.60000000000002","2.986","265","88","254","6.25","32","78","12.75",
"869731677","626392096","159528824","80.3","-33.60000000000002","2.986","81.0","38.5","260.0","8.09","50.43","975.0","300","120","89","29","1","0.0","-33.60000000000002","2.986","252","88","254","6.375","33","78","13.0",
"869731678","626391774","159529167","83.81","-33.60000000000002","3.014","81.0","38.5","259.0","8.09","50.43","966.0","300","121","89","29","1","0.0","-33.60000000000002","3.014","249","90","256","6.25","33","78","12.75",
"869731679","626391503","159529548","87.15","-33.60000000000002","3.014","80.0","38.5","260.0","7.9","50.43","975.0","300","121","89","29","1","0.0","-33.60000000000002","3.014","249","90","258","6.25","33","78","12.75",
"869731680","626391280","159529906","90.05","-33.60000000000002","3.014","80.0","38.75","260.0","7.9","50.31","979.0","300","122","89","29","1","0.0","-33.60000000000002","3.014","250","87","256","6.125","33","77","13.0",
"869731681","626391037","159530279","93.16","-33.60000000000002","3.014","80.0","38.75","260.0","7.81","50.31","984.0","300","122","89","29","1","0.0","-33.60000000000002","3.014","246","90","260","5.75","33","74","12.625",
"869731682","626390782","159530652","96.34","-33.60000000000002","3.014","79.0","38.75","261.0","7.81","50.21","986.0","300","122","89","29","1","0.0","-33.60000000000002","3.014","243","90","258","5.75","33","74","12.625",
"869731683","626390473","159531107","100.16","-33.39999999999998","3.014","79.0","38.75","260.0","7.81","50.21","984.0","300","122","89","29","1","0.5","-33.39999999999998","3.014","249","89","260","6.0","33","76","12.5",
"869731684","626390049","159531247","104.19","-33.39999999999998","3.023","79.0","38.5","260.0","7.81","50.21","990.0","300","122","89","29","1","0.5","-33.39999999999998","3.023","242","88","258","5.875","33","75","12.75",
"869731685","626389871","159531562","106.62","-33.39999999999998","3.023","79.0","38.5","259.0","7.81","50.21","992.0","300","123","89","29","1","0.0","-33.39999999999998","3.023","247","89","254","5.875","33","75","13.0",
