record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[SPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],record.developer.0.Elevation[Meters],
"852364979","626401682","159518353","0.0","57.39999999999998","0.075","0.0","0.0","0.0","5.15","31.65","320.0","300","94","0","24","1","0.0","57.39999999999998","0.075","0","0","0","0.0","0","0.0",
"852364980","626401612","159518140","1.35","58.0","0.0","50.7","46.25","570.0","5.15","31.65","320.0","300","90","49","24","1","0.5","58.0","0.0","0","0","0","0.0","0","0.0",
"852364981","626401682","159517842","3.16","58.0","0.093","50.7","46.25","570.0","40.81","35.9","224.0","300","87","49","24","1","0.5","58.0","0.093","0","0","0","0.0","0","0.0",
"852364982","626401823","159517621","4.95","58.39999999999998","0.121","80.0","38.25","291.0","30.93","40.93","236.0","300","87","88","24","1","0.0","58.39999999999998","0.121","0","0","0","0.0","0","0.0",
"852364983","626401962","159517420","6.66","58.200000000000045","1.502","80.0","38.0","277.0","17.75","43.18","439.0","300","88","89","24","1","0.5","58.200000000000045","1.502","0","0","0","0.0","0","0.0",
"852364984","626402151","159517196","8.76","58.60000000000002","1.717","77.0","38.25","272.0","12.87","45.25","583.0","300","88","90","24","1","0.5","58.60000000000002","1.717","0","0","0","0.0","0","0.0","0",
"852364985","626402387","159516971","11.29","58.200000000000045","1.717","76.0","38.25","269.0","13.15","46.09","581.0","300","88","90","24","1","0.5","58.200000000000045","1.717","0","92","0","0.0","0","0.0","0",
"852364986","626402585","159516602","14.03","58.200000000000045","2.389","77.0","38.75","269.0","12.87","46.75","603.0","300","90","90","24","1","0.5","58.200000000000045","2.389","41","91","0","0.0","41","0.0","0",
"852364987","626402835","159516432","16.55","58.200000000000045","2.687","77.0","39.25","267.0","12.28","47.09","832.0","300","92","91","24","1","0.0","58.200000000000045","2.687","202","91","256","0.0","41","0.0","0",
"852364988","626402998","159516158","18.65","58.200000000000045","2.753","77.0","39.25","267.0","10.53","47.62","841.0","300","93","90","24","1","0.5","58.200000000000045","2.753","233","90","250","5.875","75","13.625","0",
"852364989","626403114","159515788","20.97","58.200000000000045","2.753","76.0","39.75","269.0","10.15","47.75","846.0","300","94","90","24","1","0.5","58.200000000000045","2.753","228","88","250","5.875","76","13.25","0",
"852364990","626403167","159515273","23.77","58.200000000000045","2.463","76.0","40.0","270.0","9.65","48.0","844.0","300","99","90","24","1","0.0","58.200000000000045","2.463","233","88","252","6.0","77","13.125","0",
"852364991","626403315","159514936","26.12","58.200000000000045","2.463","76.0","40.25","272.0","9.46","48.09","839.0","300","101","89","24","1","0.5","58.200000000000045","2.463","226","89","258","6.0","76","12.5","0",
"852364992","626403324","159514318","29.21","58.200000000000045","2.501","75.0","40.0","269.0","9.25","48.31","839.0","300","104","89","24","1","0.5","58.200000000000045","2.501","221","90","262","5.875","75","12.25","0",
"852364993","626403495","159513957","31.8","58.200000000000045","2.594","75.0","40.0","269.0","9.15","48.4","836.0","300","109","89","24","1","0.5","58.200000000000045","2.594","221","89","264","5.75","74","12.25","0",
"852364994","626403462","159513228","35.63","58.200000000000045","2.659","74.0","40.25","270.0","8.87","48.5","838.0","300","113","89","24","1","0.5","58.200000000000045","2.659","215","88","268","5.875","74","12.625","0",
"852364995","626403589","159512856","38.01","58.200000000000045","2.678","73.0","40.5","272.0","8.78","48.5","843.0","300","114","89","24","1","0.5","58.200000000000045","2.678","211","90","270","5.75","74","12.5","0",
"852364996","626403695","159512544","39.87","58.200000000000045","2.753","73.0","40.5","273.0","8.46","48.5","946.0","300","115","89","24","1","0.5","58.200000000000045","2.753","206","89","272","5.5","72","12.375","0",
"852364997","626403867","159512310","41.94","58.39999999999998","2.753","73.0","40.5","274.0","8.28","48.5","928.0","300","116","89","24","1","0.0","58.39999999999998","2.753","211","88","272","5.375","71","12.5","0",
"852364998","626404001","159512022","43.99","58.39999999999998","2.585","73.0","40.25","273.0","8.37","48.59","891.0","300","116","89","24","1","0.0","58.39999999999998","2.585","207","88","274","5.5","72","12.5","0",
