record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.vertical_ratio[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.stance_time_percent[percent],record.stance_time[ms],record.stance_time_balance[percent],record.developer.0.Power[Watts],record.developer.0.Cadence[SPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"852451692","626405513","159517963","0.81","57.39999999999998","0.0","43.7","7.4","584.0","300","123","46","25","6","0.5","57.39999999999998","0.0",
"852451693","626405623","159517819","2.09","57.39999999999998","0.103","44.7","8.46","561.0","300","123","47","25","6","0.5","57.39999999999998","0.103",
"852451694","626405755","159517667","3.57","57.60000000000002","1.054","79.0","22.75","370.0","300","124","89","25","1","0.5","57.60000000000002","1.054","37.75","261.0","48.84",
"852451695","626405939","159517406","5.84","58.39999999999998","1.222","80.0","23.81","458.0","300","125","89","25","1","0.5","58.39999999999998","1.222","38.5","254.0","49.43","0","0","0","0.0",
"852451696","626406162","159517086","8.57","57.799999999999955","1.652","80.0","14.71","542.0","300","126","88","25","1","0.5","57.799999999999955","1.652","37.75","255.0","49.59","110","85","1170","0.0",
"852451697","626406366","159516826","10.91","57.200000000000045","2.305","80.0","14.62","572.0","300","126","89","25","1","0.0","57.200000000000045","2.305","38.75","259.0","49.68","204","91","274","0.0","165","41","0.0",
"852451698","626406526","159516567","12.81","57.60000000000002","2.79","78.0","11.71","873.0","300","125","89","25","1","0.5","57.60000000000002","2.79","38.25","256.0","49.78","204","89","274","6.25","165","41","12.375",
"852451699","626406668","159516347","14.51","57.39999999999998","2.79","77.0","10.43","938.0","300","126","89","25","1","0.5","57.39999999999998","2.79","38.5","257.0","49.87","272","88","256","5.875","165","74","12.375",
"852451700","626406725","159516028","16.16","57.39999999999998","2.557","76.0","9.25","925.0","300","126","90","25","1","0.0","57.39999999999998","2.557","38.5","257.0","50.0","274","92","254","5.875","165","75","12.25",
"852451701","626406786","159515720","17.78","57.200000000000045","2.389","77.0","9.15","914.0","300","127","89","25","1","0.5","57.200000000000045","2.389","38.25","255.0","50.0","274","91","254","6.0","165","76","12.125",
"852451702","626406722","159515009","20.86","57.0","2.221","77.0","9.15","875.0","300","126","90","25","1","0.0","57.0","2.221","38.25","253.0","50.0","245","86","256","5.75","164","75","12.25",
"852451703","626406770","159514623","22.84","56.799999999999955","2.221","76.0","9.15","772.0","300","127","90","25","1","0.5","56.799999999999955","2.221","38.5","255.0","50.09","244","92","258","5.625","164","74","12.375",
"852451704","626406816","159514251","24.76","56.799999999999955","2.473","74.0","9.25","767.0","300","128","90","25","1","0.5","56.799999999999955","2.473","39.0","258.0","50.09","244","92","260","5.625","164","74","12.375",
"852451705","626406817","159513793","26.95","56.60000000000002","2.473","75.0","9.46","761.0","300","129","90","25","1","0.0","56.60000000000002","2.473","39.25","261.0","50.0","238","91","262","5.375","164","72","12.125",
"852451706","626406798","159513300","29.43","56.60000000000002","2.435","74.0","9.46","752.0","300","129","90","25","1","0.5","56.60000000000002","2.435","39.5","264.0","50.0","238","91","264","5.375","164","72","12.125",
"852451707","626406750","159512851","31.47","56.799999999999955","2.435","74.0","9.46","754.0","300","130","90","25","1","0.0","56.799999999999955","2.435","39.75","264.0","50.0","247","89","262","5.5","164","73","12.25",
"852451708","626406734","159512437","33.56","57.39999999999998","2.417","74.0","9.56","756.0","300","130","90","25","1","0.0","57.39999999999998","2.417","39.25","262.0","49.87","257","89","266","5.375","165","72","12.75",
"852451709","626406694","159511958","36.07","57.799999999999955","2.398","74.0","9.56","760.0","300","130","90","25","1","0.0","57.799999999999955","2.398","39.25","261.0","49.87","257","89","260","5.375","165","72","12.75",
"852451710","626406664","159511528","38.33","58.0","2.379","74.0","9.46","749.0","300","131","90","25","1","0.0","58.0","2.379","39.25","260.0","49.87","265","91","264","5.75","165","74","12.25",
