record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[SPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"852965254","626396383","159518843","0.0","-10.199999999999989","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300","83","0","23","1","0.0","-10.199999999999989","0.0",
"852965255","626396173","159519031","2.04","-10.199999999999989","0.0","47.7","50.0","710.0","0.0","45.46","0.0","300","80","42","23","1","0.0","-10.199999999999989","0.0",
"852965256","626396130","159519269","3.32","-10.199999999999989","0.0","73.0","37.75","253.0","33.09","47.46","57.0","300","79","92","23","1","0.0","-10.199999999999989","0.0","0","0","0","0.0",
"852965257","626396057","159519593","5.27","-10.199999999999989","0.028","76.0","38.0","257.0","10.93","48.93","668.0","300","79","91","23","1","0.0","-10.199999999999989","0.028","0","0","0","0.0",
"852965258","626396006","159519995","7.5","-10.399999999999977","1.857","75.0","38.25","256.0","15.81","49.31","500.0","300","80","91","23","1","0.5","-10.399999999999977","1.857","0","0","0","0.0",
"852965259","626395864","159520430","10.29","-10.199999999999989","2.445","75.0","39.25","259.0","14.25","49.53","530.0","300","80","91","23","1","0.5","-10.199999999999989","2.445","0","0","0","0.0","20","0","0.0",
"852965260","626395737","159520840","12.86","-10.600000000000023","2.659","73.0","39.25","255.0","11.9","49.78","854.0","300","81","98","23","1","0.0","-10.600000000000023","2.659","0","0","0","0.0","20","0","0.0",
"852965261","626395600","159521197","15.24","-10.399999999999977","2.865","73.0","39.0","254.0","10.53","49.87","897.0","300","83","93","23","1","0.0","-10.399999999999977","2.865","0","0","0","0.0","20","0","0.0",
"852965262","626395460","159521543","17.59","-10.399999999999977","2.939","73.0","39.0","254.0","9.56","49.87","898.0","300","89","92","23","1","0.0","-10.399999999999977","2.939","16","92","0","0.0","20","16","0.0",
"852965263","626395302","159521936","20.27","-10.199999999999989","2.939","73.0","39.0","253.0","9.15","49.87","902.0","300","94","92","23","1","0.5","-10.199999999999989","2.939","222","92","126","0.0","21","16","0.0",
"852965264","626395208","159522281","22.39","-10.199999999999989","2.762","73.0","39.25","254.0","8.87","49.87","898.0","300","97","92","23","1","0.5","-10.199999999999989","2.762","285","93","126","9.125","21","104","12.625",
"852965265","626395062","159522661","24.94","-10.199999999999989","2.706","74.0","39.5","257.0","8.59","49.87","898.0","300","101","92","23","1","0.0","-10.199999999999989","2.706","254","90","260","5.375","21","72","12.375",
"852965266","626394878","159523016","27.59","-10.199999999999989","2.715","72.2","39.0","251.0","8.46","49.87","884.0","300","104","93","23","1","0.0","-10.199999999999989","2.715","247","91","264","5.375","21","73","12.375",
"852965267","626394718","159523297","29.77","-10.199999999999989","2.715","72.2","39.25","252.0","8.37","49.87","866.0","300","106","94","23","1","0.0","-10.199999999999989","2.715","248","95","262","5.25","21","71","12.375",
"852965268","626394491","159523725","33.0","-10.0","2.715","72.2","39.5","253.0","8.28","49.87","865.0","300","108","93","23","1","0.5","-10.0","2.715","246","93","256","4.875","21","69","12.875",
