record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"853744433","626400384","159518541","0.0","57.39999999999998","0.075","100","91","0","23","0.0","57.39999999999998","0.075",
"853744434","626400433","159518430","0.77","57.39999999999998","0.0","100","91","0","23","0.0","57.39999999999998","0.0",
"853744436","626400861","159517927","5.7","57.39999999999998","1.036","100","90","62","23","0.5","57.39999999999998","1.036",
"853744437","626401099","159517583","8.64","57.60000000000002","2.379","100","90","62","23","0.5","57.60000000000002","2.379","0","0","0","0.0",
"853744438","626401310","159517213","11.52","57.200000000000045","2.389","100","91","91","23","0.5","57.200000000000045","2.389","0","0","0","0.0",
"853744439","626401613","159516938","14.74","57.200000000000045","2.827","100","91","92","23","0.0","57.200000000000045","2.827","0","0","0","0.0",
"853744440","626401937","159516751","17.93","56.799999999999955","2.976","100","91","91","23","0.5","56.799999999999955","2.976","0","0","0","0.0",
"853744441","626402246","159516578","20.98","57.200000000000045","3.144","100","92","92","23","0.0","57.200000000000045","3.144","0","0","0","0.0",
"853744442","626402489","159516358","23.55","57.0","3.144","100","93","91","23","0.5","57.0","3.144","0","0","0","0.0","65397","0","0.0",
"853744443","626402636","159516099","25.54","57.0","3.032","100","93","91","23","0.0","57.0","3.032","0","0","0","0.0","65348","0","0.0",
"853744444","626403099","159515820","30.05","57.0","3.032","100","93","91","23","0.0","57.0","3.032","0","0","0","0.0","65348","0","0.0",
"853744445","626403453","159515586","33.61","57.0","3.004","100","94","91","23","0.0","57.0","3.004","16","90","0","0.0","65348","16","0.0",
