record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"854010233","575087485","195881141","0.0","218.79999999999995","2.398","70.2","41.5","277.0","11.12","47.65","665.0","300","119","89","13","1","0.5","218.79999999999995","2.398",
"854010234","575087302","195881407","2.37","218.79999999999995","2.837","69.2","41.75","278.0","10.62","47.9","664.0","300","120","90","13","1","0.0","218.79999999999995","2.837",
"854010236","575086960","195881900","6.8","219.39999999999998","2.342","68.2","41.0","271.0","10.03","48.12","707.0","300","121","91","13","1","0.5","219.39999999999998","2.342",
"854010237","575086866","195882176","8.73","219.39999999999998","2.342","70.2","40.75","268.0","9.75","48.34","755.0","300","122","91","13","1","0.5","219.39999999999998","2.342","230","92","282","4.625",
"854010238","575086773","195882509","10.98","219.39999999999998","2.501","70.2","40.75","266.0","9.65","48.34","753.0","300","123","92","13","1","0.0","219.39999999999998","2.501","230","92","282","4.75","65531","66","12.875",
"854010239","575086694","195882835","13.12","219.79999999999995","2.193","69.2","40.75","264.0","9.37","48.34","754.0","300","123","93","13","1","0.0","219.79999999999995","2.193","232","92","280","4.625","65532","66","12.875",
"854010240","575086545","195883176","15.65","219.39999999999998","2.174","69.2","40.5","260.0","9.56","48.34","727.0","300","123","93","13","1","0.5","219.39999999999998","2.174","235","91","270","5.0","65531","69","13.375",
"854010241","575086317","195883600","19.04","219.60000000000002","2.193","69.2","40.0","257.0","9.75","48.53","710.0","300","125","94","13","1","0.0","219.60000000000002","2.193","235","95","270","5.0","65531","69","13.5",
"854010242","575086145","195883988","21.94","219.60000000000002","2.613","71.2","39.75","256.0","9.75","48.65","714.0","300","125","93","13","1","0.5","219.60000000000002","2.613","238","93","270","4.625","65532","67","13.875",
"854010243","575085935","195884338","24.87","219.60000000000002","2.771","73.0","39.25","252.0","9.46","48.65","884.0","300","126","93","13","1","0.0","219.60000000000002","2.771","238","93","260","4.625","65531","67","13.875",
"854010244","575085723","195884673","27.74","219.60000000000002","2.771","75.0","38.75","252.0","9.15","48.75","893.0","300","126","92","13","1","0.5","219.60000000000002","2.771","255","92","254","5.25","65531","71","13.125",
"854010245","575085518","195884978","30.44","219.60000000000002","2.771","75.0","39.25","255.0","8.68","48.87","876.0","300","127","92","13","1","0.0","219.60000000000002","2.771","252","92","256","5.25","65531","71","13.125",
"854010246","575085361","195885278","32.8","219.60000000000002","2.687","71.2","39.5","254.0","8.46","49.0","878.0","300","128","93","13","1","0.0","219.60000000000002","2.687","252","91","256","5.375","65531","73","13.0",
"854010247","575085180","195885589","35.37","219.79999999999995","2.678","70.2","39.5","252.0","8.28","49.09","872.0","300","128","93","13","1","0.5","219.79999999999995","2.678","241","91","266","5.375","65531","72","12.625",
"854010248","575084964","195885954","38.41","219.79999999999995","2.519","70.2","39.25","250.0","8.37","49.21","860.0","300","129","94","13","1","0.0","219.79999999999995","2.519","231","95","268","5.125","65531","70","12.875",
"854010249","575084840","195886360","41.18","219.79999999999995","2.519","74.0","38.75","248.0","8.68","49.34","836.0","300","130","94","13","1","0.0","219.79999999999995","2.519","226","95","274","5.125","65531","70","12.875",
"854010250","575084704","195886718","43.75","219.79999999999995","2.669","74.0","38.75","246.0","8.68","49.34","840.0","300","131","94","13","1","0.0","219.79999999999995","2.669","252","95","254","4.875","65531","69","12.5",
"854010251","575084579","195887215","47.06","219.79999999999995","2.697","74.0","38.75","248.0","8.59","49.34","845.0","300","132","94","13","1","0.0","219.79999999999995","2.697","264","93","246","5.125","65531","71","12.75",
"854010252","575084455","195887738","50.51","219.79999999999995","2.706","74.0","38.75","247.0","8.46","49.34","850.0","300","132","94","13","1","0.0","219.79999999999995","2.706","268","93","240","5.5","65531","75","13.375",
"854010253","575084354","195888287","54.02","219.79999999999995","2.762","74.0","38.5","246.0","8.46","49.34","856.0","300","132","93","13","1","0.5","219.79999999999995","2.762","268","93","238","5.5","65531","75","13.375",
"854010254","575084284","195888710","56.71","219.79999999999995","2.855","73.0","38.75","249.0","8.18","49.34","894.0","300","133","93","13","1","0.5","219.79999999999995","2.855","261","93","240","5.5","65531","75","13.25",
