record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"854526748","626398551","159523627","0.37","57.39999999999998","0.009","0.0","0.0","0.0","0.0","0.0","0.0","300","55","0","24","1","0.0","57.39999999999998","0.009","0","0","0","0.0",
"854526749","626398531","159523760","1.14","57.39999999999998","0.0","15.5","49.5","515.0","0.0","52.96","0.0","300","55","58","24","1","0.0","57.39999999999998","0.0","0","0","0","0.0",
"854526750","626398403","159523920","2.47","57.39999999999998","0.0","58.5","36.75","238.0","0.0","52.96","0.0","300","55","84","24","1","0.0","57.39999999999998","0.0","0","0","0","0.0",
"854526751","626398123","159524252","5.3","57.39999999999998","0.028","78.0","36.5","236.0","35.03","51.65","248.0","300","55","93","24","1","0.0","57.39999999999998","0.028","0","0","0","0.0",
"854526753","626397796","159524961","10.21","57.39999999999998","2.127","77.0","38.25","250.0","14.71","50.84","746.0","300","63","92","23","1","0.5","57.39999999999998","2.127","0","0","0","0.0",
"854526754","626397659","159525352","12.76","57.39999999999998","2.127","77.0","38.25","251.0","12.59","50.59","726.0","300","66","92","23","1","0.0","57.39999999999998","2.127","0","0","0","0.0",
"854526755","626397501","159525760","15.51","57.39999999999998","2.193","76.0","39.25","256.0","11.81","50.37","710.0","300","72","91","23","1","0.5","57.39999999999998","2.193","0","0","0","0.0",
"854526756","626397190","159526224","19.42","57.60000000000002","2.557","76.0","39.25","256.0","11.03","50.12","745.0","300","78","91","23","1","0.5","57.60000000000002","2.557","0","0","0","0.0",
"854526757","626397009","159526684","22.51","57.60000000000002","2.603","76.0","39.25","256.0","10.53","50.12","771.0","300","83","91","23","1","0.5","57.60000000000002","2.603","0","0","0","0.0",
"854526758","626396842","159527121","25.42","57.799999999999955","2.967","76.0","39.5","259.0","10.15","50.12","805.0","300","87","91","23","1","0.0","57.799999999999955","2.967","0","0","0","0.0",
"854526759","626396701","159527441","27.65","58.0","2.967","76.0","39.25","257.0","9.56","50.12","913.0","300","91","91","23","1","0.0","58.0","2.967","0","0","0","0.0",
"854526760","626396585","159527701","29.49","58.0","2.874","75.0","39.5","259.0","9.25","50.12","916.0","300","93","91","23","1","0.0","58.0","2.874","0","0","0","0.0",
"854526761","626396469","159527972","31.35","58.0","2.538","75.0","39.5","260.0","8.87","49.93","904.0","300","96","91","23","1","0.0","58.0","2.538","0","0","0","0.0",
"854526762","626396308","159528281","33.66","58.0","2.361","75.0","39.75","264.0","8.87","49.93","881.0","300","100","90","23","1","0.5","58.0","2.361","0","0","0","0.0",
