record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"854778907","626401276","159520547","0.0","61.0","2.267","300","67","0","25","0.0","61.0","2.267","0","0","0","0.0",
"854778908","626401369","159520704","0.0","55.799999999999955","0.0","300","67","0","25","0.0","55.799999999999955","0.0","0","0","0","0.0",
"854778909","626401489","159520734","0.35","56.0","0.625","300","67","0","25","0.0","56.0","0.625","0","0","0","0.0",
"854778910","626401644","159520631","1.71","56.200000000000045","0.69","300","67","0","25","0.0","56.200000000000045","0.69","0","0","0","0.0",
"854778911","626401529","159520267","2.37","55.39999999999998","0.784","300","68","61","25","0.0","55.39999999999998","0.784","0","0","0","0.0",
"854778912","626401703","159520034","4.45","55.799999999999955","1.558","300","68","61","25","0.0","55.799999999999955","1.558","0","0","0","0.0",
"854778913","626401748","159519673","6.02","54.799999999999955","1.819","300","68","95","25","0.0","54.799999999999955","1.819","0","0","0","0.0",
"854778914","626401809","159519257","8.21","55.60000000000002","2.127","300","68","95","25","0.0","55.60000000000002","2.127","0","0","0","0.0",
"854778915","626402037","159518990","10.74","56.0","2.678","300","70","96","25","0.0","56.0","2.678","0","0","0","0.0",
"854778916","626402326","159518824","13.52","56.0","2.967","300","70","96","25","0.0","56.0","2.967","0","0","0","0.0",
"854778917","626402606","159518701","16.2","56.0","3.2","300","73","96","25","0.0","56.0","3.2","0","0","0","0.0",
"854778918","626402593","159518304","17.17","56.0","3.2","300","75","95","25","0.0","56.0","3.2","0","0","0","0.0",
"854778919","626402604","159517835","19.38","56.0","2.837","300","74","95","25","0.0","56.0","2.837","0","0","0","0.0",
"854778920","626402575","159517286","21.91","56.0","2.79","300","73","95","25","0.0","56.0","2.79","0","0","0","0.0",
"854778921","626402588","159516732","24.66","56.0","2.79","300","73","95","25","0.0","56.0","2.79","0","0","0","0.0",
"854778922","626402631","159516206","27.36","55.799999999999955","2.827","300","76","95","25","0.0","55.799999999999955","2.827","0","0","0","0.0",
"854778923","626402649","159515701","29.9","55.799999999999955","2.827","300","76","94","25","0.0","55.799999999999955","2.827","0","0","0","0.0",
"854778924","626402713","159515247","32.27","55.799999999999955","2.762","300","83","94","25","0.0","55.799999999999955","2.762","0","0","0","0.0",
"854778925","626402748","159514784","34.75","56.0","2.706","300","82","94","25","0.0","56.0","2.706","0","0","0","0.0",
"854778926","626402800","159514294","37.4","56.0","2.641","300","87","94","25","0.0","56.0","2.641","0","0","0","0.0",
"854778927","626402890","159513810","40.17","56.0","2.641","300","88","94","25","0.0","56.0","2.641","0","0","0","0.0",
"854778928","626403014","159513337","43.0","55.799999999999955","2.65","300","91","94","25","0.0","55.799999999999955","2.65","0","0","0","0.0",
"854778929","626403177","159512886","45.9","55.799999999999955","2.678","300","94","94","25","0.0","55.799999999999955","2.678","0","0","0","0.0",
"854778930","626403328","159512458","48.65","55.799999999999955","2.687","300","99","94","25","0.0","55.799999999999955","2.687","0","0","0","0.0",
"854778931","626403473","159512054","51.23","55.60000000000002","2.687","300","102","94","24","0.0","55.60000000000002","2.687","0","0","0","0.0",
"854778932","626403615","159511670","53.72","55.60000000000002","2.669","300","101","94","24","0.0","55.60000000000002","2.669","0","0","0","0.0",
"854778933","626403758","159511291","56.2","55.60000000000002","2.622","300","106","94","24","0.0","55.60000000000002","2.622","0","0","0","0.0",
"854778934","626403900","159510900","58.74","55.60000000000002","2.594","300","109","94","24","0.0","55.60000000000002","2.594","0","0","0","0.0",
"854778935","626404055","159510545","61.15","55.799999999999955","2.585","300","109","94","24","0.0","55.799999999999955","2.585","0","0","0","0.0",
"854778936","626404199","159510174","63.63","55.799999999999955","2.557","300","110","93","24","0.0","55.799999999999955","2.557","0","0","0","0.0",
"854778937","626404355","159509790","66.18","56.0","2.547","300","112","93","24","0.0","56.0","2.547","0","0","0","0.0",
"854778938","626404555","159509441","68.89","56.0","2.547","300","119","93","24","0.0","56.0","2.547","0","0","0","0.0",
"854778939","626404727","159509049","71.62","56.0","2.557","300","120","93","24","0.0","56.0","2.557","0","0","0","0.0",
"854778940","626404890","159508690","74.12","56.0","2.557","300","119","93","24","0.0","56.0","2.557","0","0","0","0.0",
"854778941","626405080","159508389","76.52","56.0","2.547","300","119","93","24","0.0","56.0","2.547","0","0","0","0.0",
"854778942","626405275","159508171","78.66","55.799999999999955","2.547","300","119","93","24","0.0","55.799999999999955","2.547","0","0","0","0.0",
"854778943","626405483","159508100","80.27","55.799999999999955","2.519","300","121","93","24","0.0","55.799999999999955","2.519","0","0","0","0.0",
"854778944","626405660","159508109","81.83","55.60000000000002","2.463","300","122","93","24","0.0","55.60000000000002","2.463","0","0","0","0.0",
"854778945","626405875","159508048","83.85","55.60000000000002","2.398","300","123","92","24","0.0","55.60000000000002","2.398","0","0","0","0.0",
"854778946","626406078","159507866","86.0","55.60000000000002","2.37","300","119","92","24","0.0","55.60000000000002","2.37","0","0","0","0.0",
"854778947","626406256","159507584","88.28","55.60000000000002","2.351","300","118","92","24","0.0","55.60000000000002","2.351","0","0","0","0.0",
"854778948","626406579","159507264","91.72","55.799999999999955","2.351","300","121","92","24","0.0","55.799999999999955","2.351","0","0","0","0.0",
