record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.vertical_ratio[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],record.stance_time_percent[percent],record.stance_time[ms],record.stance_time_balance[percent],
"865266877","626216756","159724594","0.0","102.0","0.886","35.0","7.21","566.0","300","94","47","27","6","0.0","102.0","0.886","0","0","1208","0.0","65525","0","0.0",
"865266878","626216793","159724437","0.96","101.39999999999998","0.0","37.0","8.37","545.0","300","95","46","27","6","0.5","101.39999999999998","0.0","0","0","1208","0.0","65525","0","0.0",
"865266879","626216870","159724156","2.7","101.0","0.877","81.0","30.06","320.0","300","96","74","27","1","0.0","101.0","0.877","0","0","1208","0.0","65525","0","0.0","46.25","265.0","49.53",
"865266880","626217016","159723781","5.22","100.79999999999995","0.896","88.7","26.15","365.0","300","99","89","27","1","0.5","100.79999999999995","0.896","0","0","1208","0.0","65525","0","0.0","37.25","250.0","49.75",
"865266881","626217063","159723357","7.67","100.39999999999998","2.09","89.7","18.93","727.0","300","101","89","27","1","0.5","100.39999999999998","2.09","0","0","1208","0.0","65525","0","0.0","36.75","247.0","49.75",
"865266882","626217064","159722821","10.72","100.79999999999995","2.314","87.7","10.93","761.0","300","104","90","27","1","0.5","100.79999999999995","2.314","39","50","196","0.0","65514","16","0.0","37.75","250.0","49.75",
"865266883","626217089","159722294","13.73","100.20000000000005","2.753","87.7","11.03","794.0","300","107","90","27","1","0.5","100.20000000000005","2.753","144","91","262","1.25","65515","41","20.375","37.5","250.0","49.75",
"865266884","626217174","159721807","16.61","100.79999999999995","2.967","86.7","10.43","943.0","300","108","90","27","1","0.0","100.79999999999995","2.967","231","90","384","6.125","65515","41","5.5","37.5","250.0","49.75",
"865266885","626217111","159721234","19.92","100.60000000000002","3.107","84.7","9.56","980.0","300","110","90","27","1","0.0","100.60000000000002","3.107","258","89","246","4.875","65515","45","12.25","37.5","250.0","49.65",
"865266886","626216954","159720567","23.99","100.39999999999998","3.191","85.7","9.37","998.0","300","112","89","27","1","0.5","100.39999999999998","3.191","303","91","238","6.125","65515","78","12.875","37.75","252.0","49.65",
"865266887","626216859","159719902","27.85","100.20000000000005","3.191","88.7","9.15","1006.0","300","113","89","27","1","0.5","100.20000000000005","3.191","309","90","238","6.375","65515","79","12.625","38.0","254.0","49.65",
"865266888","626216745","159719240","31.77","100.39999999999998","3.163","86.7","8.78","1038.0","300","115","89","27","1","0.5","100.39999999999998","3.163","308","89","240","6.625","65515","81","11.875","38.5","258.0","49.65",
"865266889","626216612","159718619","35.51","100.39999999999998","3.163","86.7","8.59","1048.0","300","117","88","27","1","0.5","100.39999999999998","3.163","305","86","240","6.375","65515","79","12.0","38.5","260.0","49.75",
"865266890","626216601","159718083","38.54","100.39999999999998","3.098","86.7","8.37","1065.0","300","118","88","27","1","0.0","100.39999999999998","3.098","300","91","244","6.125","65515","78","12.375","38.25","260.0","49.75",
"865266891","626216567","159717551","41.57","100.60000000000002","3.042","85.7","8.09","1070.0","300","120","88","27","1","0.0","100.60000000000002","3.042","298","86","244","6.125","65515","78","12.5","38.25","260.0","49.75",
"865266892","626216624","159717093","44.1","100.60000000000002","2.995","84.7","8.0","1073.0","300","121","87","27","1","0.5","100.60000000000002","2.995","307","87","252","6.875","65515","82","11.75","38.75","264.0","49.75",
"865266893","626216865","159716773","46.02","100.79999999999995","2.939","82.0","7.4","1063.0","300","122","87","27","1","0.5","100.79999999999995","2.939","299","90","252","6.625","65515","80","12.0","39.25","269.0","49.75",
"865266894","626216931","159716489","47.39","100.79999999999995","2.818","74.0","7.5","1070.0","300","122","87","27","1","0.0","100.79999999999995","2.818","301","87","260","6.75","65515","81","11.25","41.5","285.0","49.75",
"865266895","626216949","159716295","48.03","100.79999999999995","2.734","82.0","7.59","1057.0","300","123","83","27","1","0.5","100.79999999999995","2.734","269","85","270","6.375","65515","78","12.0","40.75","283.0","49.75",
"865266896","626217041","159716170","48.03","100.79999999999995","2.435","83.0","8.28","782.0","300","124","85","27","1","0.0","100.79999999999995","2.435","255","80","280","6.125","65515","76","12.5","40.0","279.0","49.75",
"865266897","626217096","159716062","48.03","100.79999999999995","2.211","83.0","8.68","791.0","300","124","86","27","1","0.5","100.79999999999995","2.211","244","85","290","5.75","65515","72","11.875","39.75","276.0","49.75",
"865266898","626217091","159715967","48.08","100.79999999999995","2.006","82.0","10.03","701.0","300","124","87","27","1","0.0","100.79999999999995","2.006","243","85","294","5.875","65515","73","11.375","39.5","273.0","49.75",
"865266899","626216935","159715819","49.55","101.0","1.987","82.0","12.28","576.0","300","125","87","27","1","0.0","101.0","1.987","243","87","294","5.75","65515","72","11.625","39.5","273.0","49.75",
"865266900","626216812","159715675","50.76","101.0","1.987","81.0","12.28","576.0","300","125","86","27","1","0.5","101.0","1.987","251","87","278","5.75","65515","72","11.625","39.25","273.0","49.75",
"865266901","626216610","159715503","52.7","101.0","2.09","82.0","13.06","575.0","300","126","86","27","1","0.5","101.0","2.09","253","85","280","6.0","65516","74","11.625","39.5","274.0","49.65",
"865266902","626216346","159715350","55.13","101.0","2.202","82.0","13.28","580.0","300","126","86","27","1","0.5","101.0","2.202","258","84","280","5.875","65516","74","11.625","39.25","274.0","49.53",
"865266903","626216100","159715210","57.5","101.0","2.323","81.0","13.28","589.0","300","126","86","27","1","0.0","101.0","2.323","258","85","282","5.875","65516","73","11.625","39.25","273.0","49.53",
"865266904","626215849","159715041","59.67","101.20000000000005","2.323","81.0","13.06","606.0","300","127","86","27","1","0.0","101.20000000000005","2.323","269","85","282","6.25","65516","75","11.5","38.75","270.0","49.43",
"865266905","626215597","159714892","61.75","101.39999999999998","2.165","81.0","12.96","620.0","300","127","86","27","1","0.5","101.39999999999998","2.165","272","85","282","6.25","65516","75","11.5","38.75","270.0","49.43",
"865266906","626215355","159714778","63.75","101.60000000000002","2.155","80.0","12.68","631.0","300","128","86","27","1","0.5","101.60000000000002","2.155","270","86","282","6.0","65516","74","11.625","38.75","269.0","49.43",
"865266907","626215090","159714609","66.21","101.60000000000002","2.202","80.0","12.59","634.0","300","129","86","27","1","0.5","101.60000000000002","2.202","268","87","282","6.0","65516","74","11.625","39.0","269.0","49.43",
"865266908","626214795","159714391","69.12","101.79999999999995","2.239","80.0","12.28","651.0","300","129","86","27","1","0.5","101.79999999999995","2.239","261","85","282","6.0","65516","74","11.5","38.75","269.0","49.43",
"865266909","626214555","159714211","71.52","102.0","2.305","79.0","12.09","663.0","300","130","86","27","1","0.5","102.0","2.305","259","85","278","6.0","65516","74","11.5","39.0","269.0","49.43",
"865266910","626214280","159713996","74.22","102.0","2.314","79.0","12.0","669.0","300","130","86","27","1","0.5","102.0","2.314","256","87","280","5.75","65516","73","11.875","39.0","268.0","49.43",
"865266911","626213989","159713751","77.23","102.20000000000005","2.323","79.0","11.71","678.0","300","131","87","27","1","0.0","102.20000000000005","2.323","262","86","278","5.875","65516","74","11.75","39.0","268.0","49.65",
"865266912","626213675","159713506","80.46","102.20000000000005","2.342","79.0","11.71","684.0","300","131","87","27","1","0.0","102.20000000000005","2.342","263","87","274","6.0","65516","74","12.25","39.25","270.0","49.65",
"865266913","626213441","159713265","83.02","102.20000000000005","2.37","79.0","11.5","691.0","300","132","87","27","1","0.0","102.20000000000005","2.37","271","85","276","6.125","65516","76","11.875","39.25","270.0","49.65",
"865266914","626213084","159713005","86.65","102.20000000000005","2.37","79.0","11.21","719.0","300","133","86","27","1","0.5","102.20000000000005","2.37","271","85","272","6.125","65516","76","11.875","39.0","270.0","49.65",
"865266915","626212811","159712719","89.67","102.39999999999998","2.407","80.0","11.12","721.0","300","133","86","27","1","0.5","102.39999999999998","2.407","266","87","278","5.875","65517","73","11.875","39.25","272.0","49.65",
"865266916","626212466","159712488","93.14","102.20000000000005","2.417","82.0","11.12","730.0","300","133","86","27","1","0.5","102.20000000000005","2.417","263","86","278","6.125","65517","75","11.125","39.25","272.0","49.75",
"865266917","626212063","159712274","97.07","102.39999999999998","2.445","82.0","11.03","744.0","300","134","86","27","1","0.5","102.39999999999998","2.445","261","85","280","6.125","65517","75","11.625","39.5","273.0","49.75",
"865266918","626211601","159712088","101.5","102.60000000000002","2.519","81.0","10.53","764.0","300","135","86","27","1","0.5","102.60000000000002","2.519","259","89","280","6.25","65517","75","11.5","39.25","271.0","49.65",
"865266919","626211110","159711912","106.19","102.60000000000002","2.594","80.0","10.25","799.0","300","135","86","27","1","0.5","102.60000000000002","2.594","262","86","280","6.125","65517","75","11.5","39.0","270.0","49.65",
"865266920","626210697","159711723","110.19","102.60000000000002","2.659","81.0","9.93","926.0","300","135","86","27","1","0.0","102.60000000000002","2.659","260","87","280","6.0","65517","74","11.625","39.0","272.0","49.65",
"865266921","626210314","159711588","113.84","102.79999999999995","2.697","80.0","9.46","925.0","300","136","85","27","1","0.5","102.79999999999995","2.697","261","85","280","5.875","65517","74","11.625","39.25","274.0","49.65",
"865266922","626209977","159711491","117.03","102.79999999999995","2.697","79.0","9.25","924.0","300","136","85","27","1","0.5","102.79999999999995","2.697","259","85","280","6.25","65517","76","12.0","39.25","275.0","49.65",
"865266923","626209634","159711382","120.28","103.0","2.669","79.0","9.06","922.0","300","137","86","27","1","0.0","103.0","2.669","259","85","280","6.25","65517","76","12.0","39.25","274.0","49.65",
"865266924","626209278","159711259","123.68","103.20000000000005","2.669","79.0","8.87","908.0","300","137","86","27","1","0.0","103.20000000000005","2.669","264","86","284","6.375","65517","76","11.75","39.5","274.0","49.65",
"865266925","626208940","159711136","126.91","103.39999999999998","2.669","78.0","8.87","899.0","300","138","87","27","1","0.0","103.39999999999998","2.669","264","87","284","5.875","65517","74","11.75","39.25","272.0","49.65",
"865266926","626208609","159711066","130.0","103.60000000000002","2.669","77.0","8.78","894.0","300","139","87","27","1","0.0","103.60000000000002","2.669","269","86","282","5.875","65518","73","11.75","39.5","272.0","49.65",
"865266927","626208270","159711019","133.17","103.79999999999995","2.669","77.0","8.68","889.0","300","139","87","27","1","0.0","103.79999999999995","2.669","271","87","280","5.875","65518","73","11.75","39.25","271.0","49.53",
"865266928","626207939","159710937","136.29","104.0","2.669","77.0","8.68","889.0","300","140","87","27","1","0.0","104.0","2.669","273","88","280","5.875","65518","74","11.875","39.25","271.0","49.53",
"865266929","626207641","159710867","139.1","104.20000000000005","2.669","77.0","8.59","890.0","300","140","87","27","1","0.0","104.20000000000005","2.669","271","86","280","5.875","65518","74","12.0","39.5","272.0","49.53",
"865266930","626207352","159710802","141.81","104.39999999999998","2.65","77.0","8.68","890.0","300","140","87","27","1","0.0","104.39999999999998","2.65","271","87","276","5.75","65518","74","11.875","39.5","272.0","49.53",
"865266931","626207051","159710751","144.63","104.39999999999998","2.622","77.0","8.68","889.0","300","141","87","27","1","0.0","104.39999999999998","2.622","274","86","276","5.875","65518","74","11.875","39.5","272.0","49.53",
"865266932","626207138","159711098","144.63","104.39999999999998","2.613","77.0","8.68","889.0","300","142","87","27","1","0.0","104.39999999999998","2.613","275","86","278","6.0","65518","75","11.875","39.25","271.0","49.53",
