record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"865401677","626401058","159519218","0.07","88.20000000000005","0.0","300","60","0","29","0.0","88.20000000000005","0.0","0","0","0","0.0","65532","0","0.0",
"865401678","626401684","159518991","6.01","88.20000000000005","0.634","300","60","0","29","0.0","88.20000000000005","0.634","0","0","0","0.0","65532","0","0.0",
"865401679","626401821","159518834","7.55","88.20000000000005","4.964","300","60","0","29","0.0","88.20000000000005","4.964","0","0","0","0.0","65532","0","0.0",
"865401680","626401967","159518645","9.21","88.20000000000005","4.964","300","60","0","29","0.0","88.20000000000005","4.964","0","0","0","0.0","65532","0","0.0",
"865401681","626402115","159518490","10.8","88.20000000000005","3.247","300","60","0","29","0.0","88.20000000000005","3.247","0","0","0","0.0","65532","0","0.0",
"865401682","626402115","159518204","11.82","88.20000000000005","2.659","300","63","0","29","0.0","88.20000000000005","2.659","41","89","0","0.0","65532","41","0.0",
"865401683","626402040","159517715","12.46","88.20000000000005","2.221","300","66","0","29","0.0","88.20000000000005","2.221","41","91","0","0.0","65533","41","0.0",
"865401684","626402007","159517288","14.47","88.20000000000005","2.109","300","71","0","29","0.0","88.20000000000005","2.109","267","86","246","6.625","65533","80","13.625",
"865401685","626401971","159516949","15.31","88.20000000000005","2.109","300","73","0","29","0.0","88.20000000000005","2.109","265","87","244","6.5","65533","80","13.875",
"865401686","626401962","159516770","15.31","88.20000000000005","1.913","300","80","0","29","0.0","88.20000000000005","1.913","259","87","250","6.5","65533","80","13.375",
"865401687","626401899","159516603","15.31","88.39999999999998","1.67","300","80","0","29","0.0","88.39999999999998","1.67","259","87","258","6.625","65533","79","12.75",
"865401688","626401874","159516459","15.31","88.39999999999998","1.446","300","81","0","29","0.0","88.39999999999998","1.446","264","88","256","6.375","65533","78","12.25",
"865401689","626401803","159516311","16.3","88.39999999999998","0.401","300","83","0","29","0.0","88.39999999999998","0.401","264","91","258","6.375","65533","78","12.25",
"865401690","626401727","159516283","16.4","88.39999999999998","0.065","300","82","0","29","0.0","88.39999999999998","0.065","257","91","262","6.375","65533","78","12.25",
"865401691","626401651","159516429","17.4","88.20000000000005","0.401","300","82","0","29","0.0","88.20000000000005","0.401","252","87","264","6.0","65533","76","12.375",
"865401692","626401687","159516545","18.09","88.0","0.793","300","82","0","29","0.0","88.0","0.793","243","88","264","6.0","65532","75","12.75",
"865401693","626401801","159516692","19.45","88.0","0.896","300","82","0","29","0.0","88.0","0.896","242","88","274","6.0","65533","75","12.75",
"865401694","626401959","159516783","21.01","88.39999999999998","1.232","300","83","0","29","0.0","88.39999999999998","1.232","239","83","276","5.875","65533","74","11.875",
"865401695","626402095","159516836","22.3","88.20000000000005","1.353","300","85","0","29","0.0","88.20000000000005","1.353","246","85","270","6.125","65533","76","12.125",
"865401696","626402227","159516888","23.56","88.60000000000002","1.39","300","90","0","29","0.0","88.60000000000002","1.39","246","85","262","6.375","65533","77","12.75",
"865401697","626402399","159516884","25.17","87.79999999999995","1.39","300","92","0","29","0.0","87.79999999999995","1.39","253","89","264","6.875","65533","80","12.25",
"865401698","626402560","159516752","26.85","88.39999999999998","1.456","300","97","0","29","0.0","88.39999999999998","1.456","250","89","264","6.125","65533","76","12.125",
"865401699","626402703","159516589","28.46","88.20000000000005","1.474","300","99","0","29","0.0","88.20000000000005","1.474","249","85","260","6.0","65533","76","12.625",
"865401700","626402883","159516390","30.49","88.20000000000005","1.502","300","99","0","29","0.0","88.20000000000005","1.502","256","86","254","6.375","65532","78","12.625",
"865401701","626403064","159516174","32.58","88.0","1.586","300","100","0","29","0.0","88.0","1.586","255","86","254","6.75","65532","80","12.625",
"865401702","626403249","159515944","34.75","88.0","1.661","300","102","0","29","0.0","88.0","1.661","244","86","260","6.75","65532","80","12.75",
"865401703","626403488","159515768","37.19","88.0","1.708","300","103","0","29","0.0","88.0","1.708","244","89","260","6.625","65532","79","12.625",
"865401704","626403749","159515610","39.78","88.0","1.782","300","103","0","29","0.0","88.0","1.782","245","87","262","6.5","65532","79","12.5",
"865401705","626403999","159515409","42.38","88.0","1.875","300","99","0","28","0.0","88.0","1.875","242","87","262","6.25","65532","77","12.625",
"865401706","626404245","159515163","45.07","88.0","1.95","300","97","0","28","0.0","88.0","1.95","246","89","262","6.0","65532","76","12.0",
"865401707","626404473","159514890","47.7","88.0","2.015","300","97","0","28","0.0","88.0","2.015","243","89","268","6.125","65532","76","12.125",
"865401708","626404663","159514633","49.99","88.0","2.071","300","100","0","28","0.0","88.0","2.071","245","88","268","5.75","65532","74","11.875",
"865401709","626404925","159514222","53.36","88.20000000000005","2.09","300","100","0","28","0.0","88.20000000000005","2.09","243","89","268","5.75","65532","74","12.125",
"865401710","626405147","159513972","55.84","88.20000000000005","2.165","300","100","0","28","0.0","88.20000000000005","2.165","244","88","260","6.0","65532","76","12.875",
"865401711","626405339","159513665","58.34","88.20000000000005","2.183","300","98","0","28","0.0","88.20000000000005","2.183","245","91","264","6.125","65532","77","12.5",
"865401712","626405541","159513388","60.76","88.20000000000005","2.211","300","99","0","28","0.0","88.20000000000005","2.211","240","87","264","6.0","65532","75","12.625",
"865401713","626405776","159513137","63.34","88.39999999999998","2.239","300","104","0","28","0.0","88.39999999999998","2.239","242","87","266","6.25","65533","77","12.625",
"865401714","626405993","159512896","65.77","88.39999999999998","2.258","300","109","0","28","0.0","88.39999999999998","2.258","243","87","264","6.25","65533","77","12.625",
"865401715","626406211","159512557","68.55","88.39999999999998","2.267","300","106","0","28","0.0","88.39999999999998","2.267","245","89","268","6.125","65533","76","12.625",
"865401716","626406434","159512232","71.33","88.39999999999998","2.314","300","105","0","28","0.0","88.39999999999998","2.314","246","88","268","6.0","65533","75","12.375",
"865401717","626406642","159511879","74.12","88.39999999999998","2.351","300","110","0","28","0.0","88.39999999999998","2.351","247","89","268","5.875","65533","74","12.5",
"865401718","626406848","159511483","77.05","88.20000000000005","2.389","300","116","0","28","0.0","88.20000000000005","2.389","244","88","268","5.875","65532","74","12.5",
"865401719","626407039","159511135","79.68","88.20000000000005","2.426","300","116","0","28","0.0","88.20000000000005","2.426","251","87","268","5.875","65533","74","11.875",
"865401720","626407231","159510828","82.15","88.0","2.426","300","116","0","28","0.0","88.0","2.426","253","87","270","5.875","65533","74","11.875",
"865401721","626407438","159510501","84.8","88.0","2.426","300","115","0","28","0.0","88.0","2.426","250","91","270","5.875","65533","74","11.75",
"865401722","626407632","159510176","87.36","88.0","2.426","300","117","0","28","0.0","88.0","2.426","251","88","270","5.75","65533","74","11.75",
"865401723","626407829","159509845","89.94","88.20000000000005","2.426","300","118","0","28","0.0","88.20000000000005","2.426","255","88","272","5.75","65533","73","12.375",
"865401724","626408029","159509577","92.27","88.39999999999998","2.426","300","122","0","28","0.0","88.39999999999998","2.426","252","88","268","5.875","65533","75","12.375",
"865401725","626408245","159509304","94.77","88.60000000000002","2.417","300","122","0","28","0.0","88.60000000000002","2.417","248","88","274","5.875","65533","75","11.75",
"865401726","626408476","159508986","97.55","88.60000000000002","2.417","300","125","0","28","0.0","88.60000000000002","2.417","248","88","274","5.75","65533","73","12.125",
"865401727","626408686","159508628","100.33","88.79999999999995","2.454","300","127","0","28","0.0","88.79999999999995","2.454","244","88","276","5.75","65533","73","12.125",
"865401728","626408906","159508327","102.94","89.0","2.473","300","127","0","28","0.0","89.0","2.473","245","86","276","5.625","65533","73","12.375",
"865401729","626409102","159508042","105.34","89.0","2.473","300","131","0","28","0.0","89.0","2.473","252","89","270","5.875","65533","74","12.375",
"865401730","626409260","159507758","107.41","89.20000000000005","2.473","300","129","0","28","0.0","89.20000000000005","2.473","259","88","270","6.0","65533","75","12.0",
"865401731","626409418","159507418","109.78","89.20000000000005","2.435","300","131","0","28","0.0","89.20000000000005","2.435","261","89","268","5.875","65533","74","12.125",
"865401732","626409585","159507083","112.21","89.39999999999998","2.426","300","132","0","28","0.0","89.39999999999998","2.426","260","88","268","5.875","65533","74","12.125",
"865401733","626409777","159506672","115.13","89.39999999999998","2.426","300","131","0","28","0.0","89.39999999999998","2.426","258","88","268","5.875","65533","75","12.25",
"865401734","626409977","159506247","118.18","89.60000000000002","2.435","300","134","0","28","0.0","89.60000000000002","2.435","262","90","266","5.75","65533","74","12.25",
"865401735","626410160","159505856","120.97","89.60000000000002","2.454","300","132","0","28","0.0","89.60000000000002","2.454","261","87","268","5.875","65533","74","12.125",
"865401736","626410365","159505494","123.73","89.60000000000002","2.454","300","132","0","28","0.0","89.60000000000002","2.454","255","87","270","5.875","65533","74","12.125",
"865401737","626410582","159505058","126.92","89.39999999999998","2.463","300","132","0","28","0.0","89.39999999999998","2.463","257","87","272","5.875","65533","75","12.0",
"865401738","626410783","159504645","129.88","89.20000000000005","2.501","300","133","0","28","0.0","89.20000000000005","2.501","257","87","272","5.875","65533","75","12.0",
"865401739","626410994","159504270","132.77","89.0","2.519","300","133","0","28","0.0","89.0","2.519","257","87","268","6.0","65533","75","12.5",
