record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"865850362","626400344","159519714","0.0","90.20000000000005","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300","79","0","26","1","0.0","90.20000000000005","0.0",
"865850363","626400234","159519367","0.0","90.20000000000005","0.0","47.7","40.5","421.0","0.0","57.34","0.0","300","77","62","26","1","0.0","90.20000000000005","0.0","0","0","0","0.0",
"865850364","626400205","159518964","0.0","90.39999999999998","0.0","63.2","37.5","242.0","0.0","49.18","0.0","300","77","82","26","1","0.5","90.39999999999998","0.0","0","0","0","0.0",
"865850365","626400226","159518649","1.61","90.20000000000005","1.101","77.0","37.0","234.0","11.4","49.12","722.0","300","80","92","26","1","0.0","90.20000000000005","1.101","0","0","0","0.0","92","0","0.0",
"865850366","626400297","159518361","3.14","90.20000000000005","1.148","83.0","37.25","245.0","11.03","49.28","771.0","300","83","91","26","1","0.0","90.20000000000005","1.148","0","0","0","0.0","92","0","0.0",
"865850367","626400394","159518085","4.92","90.20000000000005","1.745","83.0","37.5","246.0","10.93","49.59","734.0","300","90","90","26","1","0.5","90.20000000000005","1.745","0","0","0","0.0","65522","0","0.0",
"865850368","626400461","159517793","6.56","90.0","1.745","83.0","37.5","249.0","11.59","49.59","680.0","300","93","90","26","1","0.5","90.0","1.745","0","0","0","0.0","65522","0","0.0",
"865850369","626400573","159517573","7.93","89.79999999999995","1.745","82.0","37.75","250.0","11.9","49.59","647.0","300","97","90","26","1","0.5","89.79999999999995","1.745","16","91","0","0.0","65522","16","0.0",
"865850370","626400673","159517478","8.69","90.0","2.417","82.0","38.0","252.0","12.59","49.59","621.0","300","97","90","26","1","0.5","90.0","2.417","221","91","128","0.0","65522","16","0.0",
"865850371","626400791","159517492","9.76","89.79999999999995","2.417","83.0","38.0","252.0","12.09","49.68","752.0","300","97","90","26","1","0.0","89.79999999999995","2.417","256","90","258","5.75","65522","75","12.0",
