record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"859697766","626397844","159519731","0.0","-10.199999999999989","0.0","36.0","46.5","679.0","0.0","61.03","0.0","300","78","44","28","1","0.0","-10.199999999999989","0.0",
"859697767","626398131","159520021","0.8","-9.800000000000011","0.467","36.0","44.25","656.0","0.0","61.03","0.0","300","78","45","28","1","0.5","-9.800000000000011","0.467","0","0","0","0.0",
"859697768","626398429","159520438","3.76","-10.199999999999989","1.4","76.0","37.0","246.0","0.0","58.46","0.0","300","78","90","28","1","0.5","-10.199999999999989","1.4","0","0","0","0.0",
"859697769","626398506","159520846","6.17","-9.800000000000011","2.389","77.0","38.0","257.0","3.78","53.9","993.0","300","80","92","28","1","0.0","-9.800000000000011","2.389","0","0","0","0.0","65506","0","0.0",
"859697770","626398590","159521343","9.03","-10.0","2.771","81.0","38.5","265.0","6.25","52.81","834.0","300","82","88","28","1","0.5","-10.0","2.771","0","0","0","0.0","65506","0","0.0",
"859697771","626398451","159521636","11.05","-9.800000000000011","2.771","79.0","38.5","258.0","7.12","52.37","852.0","300","82","90","28","1","0.0","-9.800000000000011","2.771","0","0","0","0.0","65511","0","0.0",
"859697772","626398279","159521909","13.25","-10.0","2.725","78.0","39.25","261.0","7.9","51.96","836.0","300","82","90","28","1","0.5","-10.0","2.725","0","92","0","0.0","65511","0","0.0",
"859697773","626398143","159522199","15.31","-10.0","2.659","77.0","39.5","264.0","8.37","51.43","824.0","300","88","90","28","1","0.5","-10.0","2.659","41","90","0","0.0","65511","41","0.0",
"859697774","626397958","159522439","17.49","-10.0","2.51","77.0","39.75","265.0","8.37","51.31","829.0","300","90","90","28","1","0.5","-10.0","2.51","249","89","254","6.0","65511","76","13.0",
"859697775","626397741","159522675","19.92","-9.800000000000011","2.482","76.0","40.0","266.0","8.46","51.21","836.0","300","94","90","27","1","0.5","-9.800000000000011","2.482","255","91","252","5.875","65511","76","13.125",
"859697776","626397621","159522916","21.69","-9.800000000000011","2.445","76.0","40.0","266.0","8.59","51.12","842.0","300","97","90","27","1","0.0","-9.800000000000011","2.445","254","89","252","6.0","65512","76","13.0",
"859697777","626397593","159523204","23.3","-9.600000000000023","2.323","77.0","40.0","267.0","8.78","51.03","839.0","300","100","90","27","1","0.0","-9.600000000000023","2.323","252","90","254","6.0","65512","76","13.0",
"859697778","626397542","159523458","24.82","-9.600000000000023","2.183","76.0","40.0","267.0","8.68","50.93","833.0","300","103","90","27","1","0.0","-9.600000000000023","2.183","253","89","254","5.875","65512","76","13.125",
"859697779","626397630","159523854","26.48","-9.600000000000023","2.053","75.0","40.0","265.0","8.78","50.93","831.0","300","106","90","27","1","0.5","-9.600000000000023","2.053","256","89","254","6.125","65512","77","13.125",
"859697780","626396787","159524860","33.32","-9.800000000000011","2.015","75.0","40.25","268.0","8.87","50.84","825.0","300","108","90","27","1","0.5","-9.800000000000011","2.015","258","92","254","6.0","65512","76","13.0",
"859697781","626396560","159525172","35.59","-9.800000000000011","2.053","75.0","40.0","267.0","8.96","50.84","813.0","300","110","90","27","1","0.5","-9.800000000000011","2.053","256","90","254","6.0","65512","76","12.75",
"859697782","626396471","159525521","37.74","-9.800000000000011","2.221","75.0","39.75","264.0","9.56","50.84","707.0","300","112","90","27","1","0.5","-9.800000000000011","2.221","257","90","252","5.875","65512","76","13.25",
"859697783","626396323","159525918","40.39","-10.0","2.23","75.0","39.25","258.0","10.03","50.84","701.0","300","119","91","27","1","0.0","-10.0","2.23","257","91","252","5.875","65512","76","13.375",
