record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"864190967","626400144","159521438","0.0","108.0","0.0","100","93","0","28","0.0","108.0","0.0","0","0","270","6.875","13","0","14.125",
"864190968","626399992","159521637","1.23","108.20000000000005","0.0","100","93","0","28","0.0","108.20000000000005","0.0","0","0","270","6.875","13","0","14.125",
"864190970","626398965","159522158","8.34","108.20000000000005","0.028","100","92","0","28","0.0","108.20000000000005","0.028","0","0","270","6.875","13","0","14.125",
"864190971","626398598","159522431","11.76","107.79999999999995","2.715","100","92","0","28","0.0","107.79999999999995","2.715","0","0","270","6.875","13","0","14.125",
"864190972","626398394","159522755","14.41","108.0","2.715","100","92","0","28","0.0","108.0","2.715","0","0","270","6.875","13","0","14.125",
"864190973","626397487","159522902","21.93","107.60000000000002","2.715","100","92","91","28","0.5","107.60000000000002","2.715","0","0","270","6.875","13","0","14.125",
"864190974","626397121","159523276","25.77","107.79999999999995","2.781","100","92","91","28","0.5","107.79999999999995","2.781","0","0","270","6.875","13","0","14.125",
"864190975","626397064","159523729","28.32","107.79999999999995","2.846","100","92","91","28","0.5","107.79999999999995","2.846","16","54","0","0.0","1","16","0.0",
"864190976","626396985","159524083","30.41","108.0","2.846","100","92","91","28","0.0","108.0","2.846","41","77","0","0.0","1","41","0.0",
"864190977","626396868","159524450","32.71","107.79999999999995","2.743","100","92","91","28","0.0","107.79999999999995","2.743","290","91","258","9.5","1","105","12.5",
"864190978","626396771","159524798","34.86","108.0","2.715","100","92","91","28","0.0","108.0","2.715","275","91","258","6.5","1","79","11.875",
"864190979","626396700","159525147","36.93","107.79999999999995","2.678","100","92","91","28","0.0","107.79999999999995","2.678","264","90","262","5.5","2","73","11.875",
"864190980","626396657","159525468","38.77","108.0","2.622","100","91","90","28","0.0","108.0","2.622","262","91","262","5.5","2","73","12.0",
"864190981","626396607","159525774","40.55","108.0","2.547","100","93","90","28","0.0","108.0","2.547","265","89","264","5.625","2","73","11.875",
"864190982","626396498","159526090","42.61","108.20000000000005","2.538","100","95","90","28","0.0","108.20000000000005","2.538","260","91","268","5.625","2","73","11.625",
"864190983","626396372","159526383","44.64","108.20000000000005","2.557","100","97","90","28","0.0","108.20000000000005","2.557","259","88","266","5.625","2","73","11.625",
"864190984","626396247","159526656","46.58","108.39999999999998","2.557","100","100","90","28","0.0","108.39999999999998","2.557","255","91","266","5.5","2","72","11.5",
"864190985","626396120","159526931","48.54","108.39999999999998","2.538","100","102","89","28","0.0","108.39999999999998","2.538","250","90","270","5.375","2","71","11.625",
"864190986","626395995","159527210","50.51","108.39999999999998","2.501","100","104","89","28","0.0","108.39999999999998","2.501","253","90","272","5.375","2","71","11.625",
"864190987","626395848","159527507","52.68","108.60000000000002","2.501","100","108","89","28","0.0","108.60000000000002","2.501","247","91","272","5.375","2","71","11.625",
"864190988","626395710","159527772","54.66","108.60000000000002","2.501","100","111","90","28","0.0","108.60000000000002","2.501","247","90","270","5.375","2","71","11.625",
"864190989","626395588","159527962","56.23","108.60000000000002","2.501","100","113","90","28","0.0","108.60000000000002","2.501","258","91","260","5.5","2","73","12.125",
"864190990","626395496","159528115","57.44","108.60000000000002","2.501","100","113","90","28","0.0","108.60000000000002","2.501","259","89","260","5.625","2","73","12.125",
"864190991","626395406","159528236","58.53","108.60000000000002","2.473","100","112","90","28","0.0","108.60000000000002","2.473","266","88","264","5.75","2","75","11.75",
"864190992","626395329","159528348","59.49","108.60000000000002","2.417","100","112","90","28","0.0","108.60000000000002","2.417","261","90","266","5.875","2","75","11.625",
"864190993","626395234","159528502","60.73","108.60000000000002","2.37","100","113","90","28","0.0","108.60000000000002","2.37","251","90","268","5.875","2","75","11.625",
"864190994","626395121","159528664","62.13","108.60000000000002","2.323","100","114","90","28","0.0","108.60000000000002","2.323","250","89","270","5.625","2","73","11.75",
"864190995","626394991","159528830","63.66","108.60000000000002","2.258","100","114","90","28","0.0","108.60000000000002","2.258","253","89","268","5.625","2","73","11.75",
"864190996","626394870","159528953","64.99","108.60000000000002","2.193","100","116","90","28","0.0","108.60000000000002","2.193","251","92","262","5.5","2","72","11.5",
"864190997","626394736","159529117","66.52","108.60000000000002","2.127","100","119","90","28","0.0","108.60000000000002","2.127","254","90","264","5.5","2","72","12.0",
"864190998","626394603","159529326","68.22","108.60000000000002","2.099","100","123","90","28","0.0","108.60000000000002","2.099","252","88","264","5.625","2","73","12.0",
"864190999","626394493","159529461","69.49","108.60000000000002","2.09","100","123","91","28","0.0","108.60000000000002","2.09","250","88","268","5.625","2","73","12.0",
"864191000","626394369","159529551","70.71","108.39999999999998","1.502","100","121","91","28","0.0","108.39999999999998","1.502","247","87","268","5.625","2","73","11.875",
"864191001","626394222","159529639","72.16","108.20000000000005","1.502","100","124","90","28","0.0","108.20000000000005","1.502","245","93","268","5.5","2","72","12.375",
"864191002","626394110","159529798","73.51","108.20000000000005","1.409","100","129","90","28","0.0","108.20000000000005","1.409","240","88","262","5.125","2","71","12.375",
"864191003","626394005","159529935","74.7","108.20000000000005","1.409","100","127","90","28","0.0","108.20000000000005","1.409","243","92","264","5.125","1","70","12.25",
"864191004","626393877","159530179","76.48","108.20000000000005","1.409","100","125","91","28","0.0","108.20000000000005","1.409","243","92","266","5.125","1","70","12.25",
"864191005","626393747","159530328","77.93","108.20000000000005","1.502","100","123","91","28","0.0","108.20000000000005","1.502","245","88","270","5.625","1","73","11.5",
"864191006","626393599","159530476","79.53","108.20000000000005","1.502","100","127","91","28","0.0","108.20000000000005","1.502","238","89","270","5.5","1","72","11.875",
"864191007","626393458","159530696","81.35","108.20000000000005","1.502","100","128","90","28","0.0","108.20000000000005","1.502","233","89","272","5.625","1","73","11.75",
"864191008","626393305","159530959","83.3","108.0","1.502","100","123","90","28","0.0","108.0","1.502","228","89","270","5.625","1","73","11.75",
"864191009","626393146","159531087","84.49","108.0","1.512","100","120","89","28","0.0","108.0","1.512","229","93","268","5.5","1","72","12.0",
"864191010","626392995","159531191","85.97","108.0","1.512","100","122","89","28","0.0","108.0","1.512","231","93","262","5.5","1","72","12.0",
