record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.vertical_oscillation[mm],record.stance_time_percent[percent],record.stance_time[ms],record.vertical_ratio[percent],record.stance_time_balance[percent],record.step_length[mm],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.activity_type,record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],record.developer.0.Elevation[Meters],record.developer.0.Form Power[Watts],record.developer.0.Leg Spring Stiffness[kN/m],
"865051689","626401979","159518227","0.0","95.20000000000005","1.054","39.0","47.25","882.0","3.0","64.06","416.0","300","85","32","29","1","0.0","95.20000000000005","1.054",
"865051690","626401840","159518314","0.0","95.20000000000005","0.812","42.7","50.0","671.0","3.0","62.28","416.0","300","87","42","29","1","0.0","95.20000000000005","0.812",
"865051691","626401759","159518204","0.41","95.20000000000005","0.896","53.5","42.75","514.0","26.93","55.5","356.0","300","88","67","29","1","0.0","95.20000000000005","0.896",
"865051692","626401747","159518106","0.75","95.0","0.905","82.0","40.0","255.0","27.03","54.68","350.0","300","88","89","29","1","0.5","95.0","0.905","0","0","0","0.0",
"865051697","626403247","159517417","15.84","95.0","3.06","81.0","38.0","251.0","10.53","52.18","969.0","300","94","90","29","1","0.0","95.0","3.06","0","0","0","0.0",
"865051698","626403247","159517417","15.84","95.0","3.06","80.0","38.25","253.0","9.75","51.87","982.0","300","97","89","29","1","0.5","95.0","3.06","0","0","0","0.0",
"865051699","626403284","159517038","17.64","95.0","3.06","80.0","38.25","256.0","8.96","51.65","1025.0","300","99","89","29","1","0.5","95.0","3.06","0","0","0","0.0",
"865051700","626403439","159516831","19.37","95.0","2.818","79.0","39.0","261.0","8.68","51.5","1026.0","300","101","89","29","1","0.0","95.0","2.818","41","90","0","0.0",
"865051701","626403479","159516867","19.65","95.0","2.659","79.0","39.5","266.0","8.37","51.37","1016.0","300","103","89","29","1","0.0","95.0","2.659","215","88","274","0.0","45","41","11.875",
"865051702","626403527","159516959","20.34","94.79999999999995","1.857","79.0","39.5","266.0","8.78","51.28","750.0","300","107","88","29","1","0.5","94.79999999999995","1.857","249","88","276","5.5","45","72","11.875",
