"Foods","Calories","Carbs","Fat","Protein","Cholest","Sodium","Sugars","Fiber","Day","Meal"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-01,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-01,"Breakfast"
"Greens Superfood Primal Body - Morellifit - Green Superfoods, 1 Tablespoon",30,6,1,1,0,15,0,2,2017-01-01,"Breakfast"
"Rapunzel - Reismischung mit Wildreis, 80 g",283,59,2,7,0,0,1,2,2017-01-01,"Breakfast"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-01,"Lunch"
"Safeway bacon - Bacon, 2 slice",160,0,14,8,20,520,0,0,2017-01-01,"Lunch"
"Sweet Potato - Plain, 475 grams",409,95,0,8,0,261,20,14,2017-01-01,"Lunch"
"Goya - Small White Beans, 0.5 cup",90,19,0,6,0,360,1,6,2017-01-01,"Dinner"
"A Grilled - Chicken Breast, 130 g",219,0,15,59,68,574,0,0,2017-01-01,"Dinner"
"Brocoli - Steamed Brocoli, 1 Cup",70,10,1,4,0,49,3,4,2017-01-01,"Dinner"
"Peppers, sweet, red, raw, 0.5 cup, chopped",23,4,0,1,0,3,3,2,2017-01-01,"Dinner"
"Nuts Mix - Nuts, 45 g",279,10,22,11,0,68,0,0,2017-01-01,"Snacks"
"Koko - Dairy Free Coconut drink (choc + CORRECTED calcium), 250 ml",133,23,5,1,0,0,19,1,2017-01-01,"Snacks"
"Voslauer Balance - Juicy Pink Grapefruit, 750 ml",135,31,1,0,0,0,31,0,2017-01-01,"Snacks"
"Avocado/pear Smoothie, 1 serving(s)",377,26,32,4,0,6,10,10,2017-01-01,"Snacks"
"Beet it sport - Pro-elite sports shot, 140 ml",136,28,0,6,0,0,0,0,2017-01-01,"Training"
"Generation Ucan - Pomegranate Blueberry (Tub), 12.5 g = 1 SCOOP",40,11,0,0,0,80,0,1,2017-01-01,"Training"
"Vega - Recovery Accelerator - Tropical (Usa), 27 grams",90,20,0,4,0,150,14,0,2017-01-01,"Training"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-01,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-02,"Breakfast"
"hofgut storzeln - soja drink vanille, 250 g",148,15,5,9,0,0,15,2,2017-01-02,"Breakfast"
"Frischer - Lachs, 125 g",225,0,14,25,0,0,0,0,2017-01-02,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-02,"Breakfast"
"Spinach - Raw, 2 cup",14,2,0,2,0,47,0,1,2017-01-02,"Breakfast"
"Avocado/pear Smoothie, 1 serving(s)",377,26,32,4,0,6,10,10,2017-01-02,"Lunch"
"Eat Performance Muffin, 0.75 serving(s)",266,15,19,6,164,53,14,4,2017-01-02,"Lunch"
"Couscous, cooked, 1.5 cup, cooked",264,55,0,9,0,12,0,3,2017-01-02,"Dinner"
"Sainsbury's - Boneless Lamb Shoulder, 200 g",436,0,24,54,210,0,0,0,2017-01-02,"Dinner"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-03,"Breakfast"
"Greens Superfood Primal Body - Morellifit - Green Superfoods, 1 Tablespoon",30,6,1,1,0,15,0,2,2017-01-03,"Breakfast"
"Eat Performance Muffin, 0.75 serving(s)",266,15,19,6,164,53,14,4,2017-01-03,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-03,"Breakfast"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-03,"Lunch"
"Generic - Fresh Steamed Brocoli, 1 cup",30,6,0,3,0,29,2,2,2017-01-03,"Lunch"
"Generic - French Emental Cheese, 37.5 g",138,1,10,10,31,69,0,0,2017-01-03,"Lunch"
"Lachs - Lachs, 85 g",195,0,14,17,0,0,0,0,2017-01-03,"Lunch"
"Sweet Potato - Plain, 100 grams",86,20,0,2,0,55,4,3,2017-01-03,"Lunch"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-01-03,"Lunch"
"Eurest - Mashed Potatoes, 1.5 cup",322,47,13,5,35,488,4,4,2017-01-03,"Dinner"
"Iga - Beef - Filet Mignon, 275 gram",437,0,21,58,175,146,0,0,2017-01-03,"Dinner"
"Eat Performance Muffin, 0.75 serving(s)",266,15,19,6,164,53,14,4,2017-01-03,"Snacks"
"Eat - Vanille Traum, 1 Stuck",306,13,23,8,0,0,0,0,2017-01-03,"Snacks"
"Vega - Recovery Accelerator - Tropical (Usa), 27 grams",90,20,0,4,0,150,14,0,2017-01-03,"Training"
"Generation Ucan - Pomegranate Blueberry (Tub), 25 g = 1 SCOOP",80,21,0,0,0,160,0,1,2017-01-03,"Training"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-04,"Breakfast"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-04,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-04,"Breakfast"
"Eat Performance Muffin, 0.75 serving(s)",266,15,19,6,164,53,14,4,2017-01-04,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-01-04,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-04,"Breakfast"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-04,"Lunch"
"Oil - Olive, 1 tablespoon",119,0,14,0,0,0,0,0,2017-01-04,"Lunch"
"Catarina - Tunfischfilet, 70 g",124,0,9,22,0,0,0,0,2017-01-04,"Lunch"
"Rapunzel - Reismischung mit Wildreis, 80 g",283,59,2,7,0,0,1,2,2017-01-04,"Dinner"
"Lachs - Lachs, 125 g",286,0,20,25,0,0,0,0,2017-01-04,"Dinner"
"Carrots, raw, 1 cup chopped",52,12,0,1,0,88,6,4,2017-01-04,"Dinner"
"Organic - Avocado, 0.25 avocado (100.5g)",81,4,7,1,0,4,0,4,2017-01-04,"Dinner"
"Eat Performance Muffin, 0.75 serving(s)",266,15,19,6,164,53,14,4,2017-01-04,"Snacks"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-01-04,"Snacks"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-05,"Breakfast"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-05,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-05,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-01-05,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-05,"Breakfast"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-05,"Breakfast"
