"","Dates","Value","Type","Unit","Measure"
"1",2017-06-30 05:46:45,85921,"Weight",-3,85.921
"2",2017-06-30 05:46:45,76760,"FatFree",-3,76.76
"3",2017-06-30 05:46:45,10662,"FatRatio",-3,10.662
"4",2017-06-30 05:46:45,9161,"FatMass",-3,9.161
"5",2017-06-29 06:06:59,85844,"Weight",-3,85.844
"6",2017-06-29 06:06:59,77028,"FatFree",-3,77.028
"7",2017-06-29 06:06:59,10270,"FatRatio",-3,10.27
"8",2017-06-29 06:06:59,8816,"FatMass",-3,8.816
"9",2017-06-28 05:25:39,86107,"Weight",-3,86.107
"10",2017-06-28 05:25:39,76746,"FatFree",-3,76.746
"11",2017-06-28 05:25:39,10871,"FatRatio",-3,10.871
"12",2017-06-28 05:25:39,9361,"FatMass",-3,9.361
"13",2017-06-28 05:24:42,86285,"Weight",-3,86.285
"14",2017-06-28 05:24:42,76727,"FatFree",-3,76.727
"15",2017-06-28 05:24:42,11077,"FatRatio",-3,11.077
"16",2017-06-28 05:24:42,9558,"FatMass",-3,9.558
"17",2017-06-27 05:11:29,86608,"Weight",-3,86.608
"18",2017-06-27 05:11:29,77447,"FatFree",-3,77.447
"19",2017-06-27 05:11:29,10577,"FatRatio",-3,10.577
"20",2017-06-27 05:11:29,9161,"FatMass",-3,9.161
"21",2017-06-26 06:27:20,86652,"Weight",-3,86.652
"22",2017-06-26 06:27:20,77261,"FatFree",-3,77.261
"23",2017-06-26 06:27:20,10838,"FatRatio",-3,10.838
"24",2017-06-26 06:27:20,9391,"FatMass",-3,9.391
"25",2017-06-25 07:03:51,87150,"Weight",-3,87.15
"26",2017-06-25 07:03:51,77443,"FatFree",-3,77.443
"27",2017-06-25 07:03:51,11139,"FatRatio",-3,11.139
"28",2017-06-25 07:03:51,9707,"FatMass",-3,9.707
"29",2017-06-24 06:33:04,87692,"Weight",-3,87.692
"30",2017-06-24 06:33:04,79244,"FatFree",-3,79.244
"31",2017-06-24 06:33:04,9634,"FatRatio",-3,9.634
"32",2017-06-24 06:33:04,8448,"FatMass",-3,8.448
"33",2017-06-23 05:49:08,86981,"Weight",-3,86.981
"34",2017-06-23 05:49:08,78202,"FatFree",-3,78.202
"35",2017-06-23 05:49:08,10093,"FatRatio",-3,10.093
"36",2017-06-23 05:49:08,8779,"FatMass",-3,8.779
"37",2017-06-22 05:45:26,86523,"Weight",-3,86.523
"38",2017-06-22 05:45:26,78182,"FatFree",-3,78.182
"39",2017-06-22 05:45:26,9640,"FatRatio",-3,9.64
"40",2017-06-22 05:45:26,8341,"FatMass",-3,8.341
"41",2017-06-21 05:47:23,86312,"Weight",-3,86.312
"42",2017-06-21 05:47:23,77408,"FatFree",-3,77.408
"43",2017-06-21 05:47:23,10316,"FatRatio",-3,10.316
"44",2017-06-21 05:47:23,8904,"FatMass",-3,8.904
"45",2017-06-20 05:30:57,85846,"Weight",-3,85.846
"46",2017-06-20 05:30:57,77282,"FatFree",-3,77.282
"47",2017-06-20 05:30:57,9976,"FatRatio",-3,9.976
"48",2017-06-20 05:30:57,8564,"FatMass",-3,8.564
"49",2017-06-19 06:18:06,85790,"Weight",-3,85.79
"50",2017-06-19 06:18:06,76596,"FatFree",-3,76.596
"51",2017-06-19 06:18:06,10717,"FatRatio",-3,10.717
"52",2017-06-19 06:18:06,9194,"FatMass",-3,9.194
"53",2017-06-18 05:49:51,85563,"Weight",-3,85.563
"54",2017-06-18 05:49:51,76186,"FatFree",-3,76.186
"55",2017-06-18 05:49:51,10959,"FatRatio",-3,10.959
"56",2017-06-18 05:49:51,9377,"FatMass",-3,9.377
"57",2017-06-17 05:41:55,85556,"Weight",-3,85.556
"58",2017-06-17 05:41:55,76887,"FatFree",-3,76.887
"59",2017-06-17 05:41:55,10132,"FatRatio",-3,10.132
"60",2017-06-17 05:41:55,8669,"FatMass",-3,8.669
"61",2017-06-16 05:45:36,86117,"Weight",-3,86.117
"62",2017-06-16 05:45:36,77466,"FatFree",-3,77.466
"63",2017-06-16 05:45:36,10045,"FatRatio",-3,10.045
"64",2017-06-16 05:45:36,8651,"FatMass",-3,8.651
"65",2017-06-15 05:47:34,86165,"Weight",-3,86.165
"66",2017-06-15 05:47:34,77644,"FatFree",-3,77.644
"67",2017-06-15 05:47:34,9890,"FatRatio",-3,9.89
"68",2017-06-15 05:47:34,8521,"FatMass",-3,8.521
"69",2017-06-14 05:55:30,85717,"Weight",-3,85.717
"70",2017-06-14 05:55:30,76612,"FatFree",-3,76.612
"71",2017-06-14 05:55:30,10622,"FatRatio",-3,10.622
"72",2017-06-14 05:55:30,9105,"FatMass",-3,9.105
"73",2017-06-13 04:54:07,85866,"Weight",-3,85.866
"74",2017-06-13 04:54:07,76683,"FatFree",-3,76.683
"75",2017-06-13 04:54:07,10695,"FatRatio",-3,10.695
"76",2017-06-13 04:54:07,9183,"FatMass",-3,9.183
"77",2017-06-12 07:02:03,85909,"Weight",-3,85.909
"78",2017-06-12 07:02:03,76297,"FatFree",-3,76.297
"79",2017-06-12 07:02:03,11189,"FatRatio",-3,11.189
"80",2017-06-12 07:02:03,9612,"FatMass",-3,9.612
"81",2017-06-11 06:07:52,86312,"Weight",-3,86.312
"82",2017-06-11 06:07:52,77356,"FatFree",-3,77.356
"83",2017-06-11 06:07:52,10376,"FatRatio",-3,10.376
"84",2017-06-11 06:07:52,8956,"FatMass",-3,8.956
"85",2017-06-10 05:57:31,87549,"Weight",-3,87.549
"86",2017-06-10 05:57:31,79331,"FatFree",-3,79.331
"87",2017-06-10 05:57:31,9387,"FatRatio",-3,9.387
"88",2017-06-10 05:57:31,8218,"FatMass",-3,8.218
"89",2017-06-09 06:00:46,86924,"Weight",-3,86.924
"90",2017-06-09 06:00:46,77389,"FatFree",-3,77.389
"91",2017-06-09 06:00:46,10969,"FatRatio",-3,10.969
"92",2017-06-09 06:00:46,9535,"FatMass",-3,9.535
"93",2017-06-08 06:47:24,86460,"Weight",-3,86.46
"94",2017-06-08 06:47:24,77531,"FatFree",-3,77.531
"95",2017-06-08 06:47:24,10327,"FatRatio",-3,10.327
"96",2017-06-08 06:47:24,8929,"FatMass",-3,8.929
"97",2017-06-07 06:13:17,86539,"Weight",-3,86.539
"98",2017-06-07 06:13:17,77000,"FatFree",-3,77
"99",2017-06-07 06:13:17,11022,"FatRatio",-3,11.022
"100",2017-06-07 06:13:17,9539,"FatMass",-3,9.539
"101",2017-06-06 05:59:57,86519,"Weight",-3,86.519
"102",2017-06-06 05:59:57,76784,"FatFree",-3,76.784
"103",2017-06-06 05:59:57,11252,"FatRatio",-3,11.252
"104",2017-06-06 05:59:57,9735,"FatMass",-3,9.735
"105",2017-06-05 06:52:14,86408,"Weight",-3,86.408
"106",2017-06-05 06:52:14,76836,"FatFree",-3,76.836
"107",2017-06-05 06:52:14,11078,"FatRatio",-3,11.078
