"","Date","Weight","FatFree","FatRatio","FatMass"
"1",2017-01-01 07:17:11,85.06,77.438,8.961,7.622
"2",2017-01-02 05:46:08,83.441,75.077,10.024,8.364
"3",2017-01-03 07:03:08,83.837,76.178,9.136,7.659
"4",2017-01-04 05:44:44,84.181,76.207,9.472,7.974
"5",2017-01-05 06:01:32,84.026,76.274,9.226,7.752
"6",2017-01-06 06:16:11,84.956,77.137,9.204,7.819
"7",2017-01-07 06:54:49,84.664,76.792,9.298,7.872
"8",2017-01-08 05:45:56,84.141,76.332,9.281,7.809
"9",2017-01-09 05:51:15,83.61,75.587,9.596,8.023
"10",2017-01-10 05:45:22,84.076,76.01,9.594,8.066
"11",2017-01-11 06:14:46,84.322,76.472,9.309,7.85
"12",2017-01-12 05:43:01,84.509,76.957,8.936,7.552
"13",2017-01-13 06:19:26,84.297,76.751,8.952,7.546
"14",2017-01-14 07:01:51,84.461,76.299,9.664,8.162
"15",2017-01-15 06:41:21,84.664,76.546,9.588,8.118
"16",2017-01-16 06:00:44,83.65,75.464,9.786,8.186
"17",2017-01-17 05:43:53,83.843,75.559,9.881,8.284
"18",2017-01-18 06:36:39,83.689,76.103,9.065,7.586
"19",2017-01-18 06:45:19,83.619,75.782,9.373,7.837
"20",2017-01-19 06:18:35,83.716,76.069,9.135,7.647
"21",2017-01-20 06:40:34,83.256,75.74,9.028,7.516
"22",2017-01-23 08:36:30,85.055,77.534,8.842,7.521
"23",2017-01-24 06:04:14,84.535,77.215,8.66,7.32
"24",2017-01-25 06:14:03,83.656,75.895,9.277,7.761
"25",2017-01-26 06:09:36,83.948,76.138,9.303,7.81
"26",2017-01-27 05:57:50,83.254,75.55,9.253,7.704
"27",2017-01-28 07:25:17,83.888,76.3,9.046,7.588
"28",2017-01-29 06:58:52,83.974,75.959,9.544,8.015
"29",2017-01-30 06:37:38,84.052,75.902,9.697,8.15
"30",2017-01-31 06:06:33,84.076,76.347,9.192,7.729
"31",2017-02-01 06:00:21,83.614,76.159,8.916,7.455
"32",2017-02-02 06:03:03,84.261,76.393,9.338,7.868
"33",2017-02-03 07:12:36,84.153,76.387,9.229,7.766
"34",2017-02-04 06:28:49,85.213,76.869,9.792,8.344
"35",2017-02-05 05:41:30,84.793,76.365,9.94,8.428
"36",2017-02-06 06:10:59,84.341,75.947,9.952,8.394
"37",2017-02-07 05:57:32,84.329,76.087,9.773,8.242
"38",2017-02-08 05:23:00,84.262,76.006,9.798,8.256
"39",2017-02-09 05:42:03,84.477,76.355,9.614,8.122
"40",2017-02-10 07:08:01,84.721,77.361,8.688,7.36
"41",2017-02-11 05:53:20,85.186,77.353,9.195,7.833
"42",2017-02-12 06:08:42,85.144,77.282,9.234,7.862
"43",2017-02-13 05:48:11,84.04,75.751,9.863,8.289
"44",2017-02-14 05:47:22,84.541,76.631,9.356,7.91
"45",2017-02-15 06:05:11,83.681,76.098,9.061,7.583
"46",2017-02-16 05:56:28,84.316,76.518,9.249,7.798
"47",2017-02-17 06:43:32,84.387,76.408,9.456,7.979
"48",2017-02-18 06:32:55,84.926,76.726,9.655,8.2
"49",2017-02-19 06:13:53,85.033,77.027,9.415,8.006
"50",2017-02-20 06:33:31,84.173,75.72,10.042,8.453
"51",2017-02-21 05:47:54,84.662,76.594,9.529,8.068
"52",2017-02-22 05:56:42,83.944,75.992,9.473,7.952
"53",2017-02-23 06:00:37,84.008,76.313,9.16,7.695
"54",2017-02-24 07:11:20,84.813,77.212,8.963,7.601
"55",2017-02-25 06:06:43,84.834,77.075,9.147,7.759
"56",2017-02-26 06:55:59,84.612,76.569,9.505,8.043
"57",2017-02-27 06:17:32,83.906,75.542,9.969,8.364
"58",2017-02-28 05:06:40,84.527,76.82,9.118,7.707
